date,open,high,low,close,volume
2022-08-23,1.216,1.241,1.172,1.237,4025265.8
2022-08-24,1.237,1.264,1.194,1.225,5718631.5
2022-08-25,1.224,1.292,1.224,1.261,5132045.4
2022-08-26,1.26,1.3,1.136,1.153,14727471.9
2022-08-27,1.153,1.157,1.102,1.125,6412125.5
2022-08-28,1.126,1.152,1.09,1.097,3601169.6
2022-08-29,1.098,1.19,1.081,1.183,6169868.8
2022-08-30,1.182,1.2,1.113,1.153,4925431.2
2022-08-31,1.153,1.199,1.153,1.158,4390184.8
2022-09-01,1.158,1.174,1.121,1.164,4593990.0
2022-09-02,1.164,1.18,1.117,1.133,4478336.7
2022-09-03,1.133,1.146,1.121,1.145,2007616.7
2022-09-04,1.145,1.172,1.131,1.17,2584190.5
2022-09-05,1.17,1.18,1.153,1.176,4208510.0
2022-09-06,1.176,1.209,1.07,1.071,7005639.1
2022-09-07,1.072,1.126,1.053,1.11,4722207.2
2022-09-08,1.11,1.132,1.088,1.125,5018267.2
2022-09-09,1.125,1.219,1.123,1.188,8100488.6
2022-09-10,1.188,1.208,1.169,1.188,6138051.6
2022-09-11,1.189,1.209,1.154,1.18,4225186.4
2022-09-12,1.18,1.224,1.154,1.187,9292825.5
2022-09-13,1.187,1.205,1.081,1.087,9526550.0
2022-09-14,1.086,1.119,1.075,1.111,7538602.9
2022-09-15,1.11,1.117,1.067,1.087,7015854.1
2022-09-16,1.086,1.093,1.059,1.084,4450165.8
2022-09-17,1.085,1.124,1.084,1.121,2855241.7
2022-09-18,1.122,1.123,1.027,1.036,6416859.0
2022-09-19,1.035,1.064,1.008,1.049,7087174.0
2022-09-20,1.049,1.057,1.02,1.037,5850705.8
2022-09-21,1.037,1.103,1.016,1.029,10467817.3
2022-09-22,1.028,1.119,1.024,1.114,6427152.6
2022-09-23,1.114,1.161,1.087,1.139,11184337.0
2022-09-24,1.14,1.149,1.094,1.101,3771150.1
2022-09-25,1.101,1.13,1.064,1.081,5566378.5
2022-09-26,1.08,1.108,1.052,1.095,7953836.1
2022-09-27,1.096,1.155,1.07,1.087,10297684.0
2022-09-28,1.087,1.109,1.055,1.091,5691371.8
2022-09-29,1.091,1.097,1.068,1.093,4831096.3
2022-09-30,1.093,1.107,1.066,1.073,4766498.0
2022-10-01,1.073,1.079,1.05,1.061,2916266.3
2022-10-02,1.06,1.067,1.027,1.03,2739921.0
2022-10-03,1.03,1.068,1.018,1.065,3365625.9
2022-10-04,1.066,1.09,1.056,1.082,3004545.1
2022-10-05,1.082,1.089,1.05,1.089,3014070.4
2022-10-06,1.089,1.107,1.073,1.074,4805542.2
2022-10-07,1.074,1.084,1.048,1.064,2603897.5
2022-10-08,1.063,1.07,1.048,1.052,2088869.9
2022-10-09,1.052,1.063,1.04,1.062,1461217.5
2022-10-10,1.063,1.072,1.014,1.017,3439075.5
2022-10-11,1.017,1.033,0.983,1.02,4302004.7
2022-10-12,1.021,1.032,1.007,1.014,2275880.8
2022-10-13,1.015,1.017,0.911,1.006,6419820.1
2022-10-14,1.007,1.036,0.979,0.991,3249675.1
2022-10-15,0.991,1.011,0.984,0.992,1625659.4
2022-10-16,0.992,1.015,0.991,1.007,1825042.3
2022-10-17,1.007,1.026,0.996,1.02,2687714.8
2022-10-18,1.02,1.028,0.978,1.01,3352295.0
2022-10-19,1.01,1.028,0.973,0.982,4691368.2
2022-10-20,0.982,1.007,0.966,0.979,3136478.4
2022-10-21,0.978,0.997,0.941,0.996,3428352.2
2022-10-22,0.996,1.009,0.982,0.997,1641365.4
2022-10-23,0.998,1.028,0.983,1.021,2925114.9
2022-10-24,1.022,1.066,0.996,1.051,7199323.8
2022-10-25,1.052,1.101,1.045,1.075,11192942.4
2022-10-26,1.076,1.13,1.075,1.12,6593976.6
2022-10-27,1.119,1.151,1.081,1.108,6894428.8
2022-10-28,1.108,1.177,1.095,1.154,9214245.5
2022-10-29,1.153,1.25,1.148,1.244,10718084.9
2022-10-30,1.244,1.249,1.149,1.172,7183981.9
2022-10-31,1.172,1.193,1.135,1.165,6914082.3
2022-11-01,1.165,1.206,1.151,1.202,5407822.4
2022-11-02,1.202,1.244,1.115,1.147,11359118.0
2022-11-03,1.147,1.281,1.143,1.234,11440580.2
2022-11-04,1.234,1.337,1.222,1.295,11291198.7
2022-11-05,1.295,1.318,1.266,1.287,7317804.9
2022-11-06,1.287,1.324,1.196,1.2,6904549.3
2022-11-07,1.2,1.24,1.16,1.21,7486156.8
2022-11-08,1.21,1.23,0.925,1.031,16653555.9
2022-11-09,1.031,1.042,0.851,0.888,15327175.6
2022-11-10,0.889,1.031,0.874,1.003,16376201.1
2022-11-11,1.002,1.02,0.92,0.954,8116235.1
2022-11-12,0.953,0.958,0.884,0.893,5956209.1
2022-11-13,0.894,0.915,0.862,0.874,5762719.2
2022-11-14,0.873,0.91,0.824,0.898,8163806.5
2022-11-15,0.898,0.943,0.885,0.921,6152329.3
2022-11-16,0.92,0.938,0.876,0.895,4579683.5
2022-11-17,0.896,0.903,0.866,0.881,3545847.2
2022-11-18,0.88,0.919,0.88,0.9,3419376.7
2022-11-19,0.901,0.906,0.877,0.902,1820653.0
2022-11-20,0.903,0.913,0.841,0.847,3890259.0
2022-11-21,0.847,0.855,0.808,0.829,6373001.4
2022-11-22,0.83,0.853,0.801,0.851,5415118.4
2022-11-23,0.851,0.89,0.847,0.889,4546704.9
2022-11-24,0.888,0.901,0.87,0.895,3958420.2
2022-11-25,0.895,0.93,0.867,0.915,5891927.8
2022-11-26,0.915,0.94,0.905,0.913,4211947.8
2022-11-27,0.912,0.982,0.909,0.955,6702797.7
2022-11-28,0.956,0.959,0.887,0.921,6624799.7
2022-11-29,0.92,0.96,0.91,0.926,5958490.8
2022-11-30,0.927,0.967,0.915,0.961,7122573.0
2022-12-01,0.961,0.964,0.912,0.924,5605922.9
2022-12-02,0.924,0.93,0.878,0.922,4350891.2
2022-12-03,0.922,0.924,0.875,0.886,2869252.0
2022-12-04,0.887,0.903,0.883,0.891,4068582.5
2022-12-05,0.891,0.91,0.873,0.878,4219330.1
2022-12-06,0.878,0.906,0.873,0.903,3666001.4
2022-12-07,0.904,0.906,0.846,0.875,4394804.4
2022-12-08,0.876,0.881,0.837,0.876,4361913.3
2022-12-09,0.877,0.882,0.851,0.859,2610805.1
2022-12-10,0.859,0.867,0.849,0.853,2301861.9
2022-12-11,0.853,0.871,0.839,0.845,2416896.7
2022-12-12,0.845,0.845,0.804,0.828,4028976.8
2022-12-13,0.828,0.85,0.792,0.849,6919536.1
2022-12-14,0.849,0.855,0.813,0.827,3481181.9
2022-12-15,0.826,0.833,0.808,0.822,2464425.9
2022-12-16,0.822,0.841,0.73,0.741,6551950.6
2022-12-17,0.742,0.755,0.712,0.752,3957579.5
2022-12-18,0.752,0.761,0.741,0.75,1813869.7
2022-12-19,0.75,0.761,0.715,0.734,3533575.9
2022-12-20,0.734,0.778,0.73,0.774,2976074.3
2022-12-21,0.774,0.776,0.753,0.77,2009202.8
2022-12-22,0.77,0.787,0.76,0.786,2507672.8
2022-12-23,0.786,0.789,0.776,0.778,1584603.6
2022-12-24,0.779,0.785,0.771,0.774,766532.9
2022-12-25,0.774,0.778,0.75,0.758,1642962.2
2022-12-26,0.758,0.776,0.756,0.775,1659691.6
2022-12-27,0.775,0.779,0.746,0.758,1942700.1
2022-12-28,0.757,0.764,0.724,0.751,4220065.0
2022-12-29,0.752,0.753,0.713,0.726,2980941.4
2022-12-30,0.726,0.733,0.706,0.729,3213604.3
2022-12-31,0.73,0.737,0.717,0.723,2015698.9
2023-01-01,0.722,0.735,0.716,0.733,1484000.7
2023-01-02,0.734,0.756,0.721,0.751,3363019.0
2023-01-03,0.751,0.753,0.728,0.736,2173780.1
2023-01-04,0.736,0.759,0.735,0.753,3554506.3
2023-01-05,0.752,0.78,0.746,0.75,3264068.3
2023-01-06,0.751,0.762,0.731,0.76,2798036.7
2023-01-07,0.76,0.77,0.759,0.769,1749198.8
2023-01-08,0.769,0.799,0.759,0.794,2478193.4
2023-01-09,0.794,0.83,0.791,0.803,7799546.9
2023-01-10,0.803,0.824,0.791,0.814,5228016.2
2023-01-11,0.814,0.835,0.78,0.834,5963532.4
2023-01-12,0.834,0.865,0.808,0.845,8181318.0
2023-01-13,0.845,0.897,0.833,0.894,5996152.8
2023-01-14,0.893,0.954,0.857,0.915,11010516.8
2023-01-15,0.915,0.938,0.889,0.929,7865818.1
2023-01-16,0.928,0.956,0.881,0.916,8448906.8
2023-01-17,0.916,0.987,0.903,0.962,9760288.3
2023-01-18,0.961,0.971,0.861,0.867,9631779.5
2023-01-19,0.867,0.895,0.863,0.893,3954988.4
2023-01-20,0.893,1.014,0.887,1.008,7713600.5
2023-01-21,1.008,1.048,0.981,1.009,9522304.5
2023-01-22,1.01,1.077,0.995,1.069,10058612.9
2023-01-23,1.069,1.123,1.044,1.069,10329075.5
2023-01-24,1.068,1.09,0.977,0.995,7215767.7
2023-01-25,0.995,1.066,0.97,1.05,8038501.4
2023-01-26,1.051,1.082,1.023,1.059,8043934.2
2023-01-27,1.059,1.192,1.017,1.118,17772292.6
2023-01-28,1.119,1.124,1.064,1.073,4717461.0
2023-01-29,1.073,1.118,1.061,1.108,5263741.4
