date,open,high,low,close,volume
2022-08-23,0.28,0.29,0.275,0.287,1183591.6
2022-08-24,0.287,0.292,0.281,0.285,985840.0
2022-08-25,0.285,0.308,0.285,0.296,2279070.4
2022-08-26,0.295,0.303,0.273,0.274,2150664.3
2022-08-27,0.274,0.281,0.272,0.28,930096.1
2022-08-28,0.28,0.292,0.274,0.275,1510410.4
2022-08-29,0.274,0.286,0.273,0.283,1088535.0
2022-08-30,0.283,0.303,0.282,0.284,3050517.4
2022-08-31,0.284,0.292,0.278,0.282,1387110.3
2022-09-01,0.282,0.283,0.255,0.276,2190788.8
2022-09-02,0.276,0.283,0.265,0.27,1990885.1
2022-09-03,0.27,0.273,0.268,0.269,554603.7
2022-09-04,0.27,0.272,0.265,0.269,882332.7
2022-09-05,0.268,0.271,0.264,0.271,723273.0
2022-09-06,0.271,0.276,0.25,0.25,2420066.6
2022-09-07,0.25,0.267,0.247,0.262,1092452.7
2022-09-08,0.262,0.283,0.259,0.263,3190209.8
2022-09-09,0.262,0.279,0.262,0.277,1784394.3
2022-09-10,0.277,0.329,0.269,0.284,11375535.8
2022-09-11,0.284,0.296,0.276,0.285,3971422.5
2022-09-12,0.284,0.286,0.271,0.275,2244278.7
2022-09-13,0.275,0.278,0.26,0.263,2014513.4
2022-09-14,0.262,0.271,0.262,0.268,909964.4
2022-09-15,0.269,0.27,0.256,0.259,1517705.6
2022-09-16,0.26,0.262,0.257,0.262,481701.1
2022-09-17,0.261,0.268,0.26,0.266,1152822.9
2022-09-18,0.266,0.269,0.25,0.254,2486629.5
2022-09-19,0.254,0.258,0.247,0.256,1402385.7
2022-09-20,0.256,0.263,0.25,0.252,1837900.9
2022-09-21,0.252,0.258,0.242,0.246,1817903.3
2022-09-22,0.246,0.256,0.245,0.255,676169.1
2022-09-23,0.256,0.258,0.25,0.253,696727.2
2022-09-24,0.254,0.255,0.251,0.252,589839.4
2022-09-25,0.252,0.254,0.247,0.25,651774.4
2022-09-26,0.251,0.253,0.246,0.25,451706.5
2022-09-27,0.251,0.257,0.245,0.248,1142682.3
2022-09-28,0.248,0.249,0.241,0.247,704156.8
2022-09-29,0.247,0.261,0.245,0.257,2335497.1
2022-09-30,0.258,0.258,0.249,0.251,1250897.6
2022-10-01,0.251,0.255,0.248,0.251,655720.6
2022-10-02,0.252,0.267,0.246,0.248,4272026.1
2022-10-03,0.249,0.261,0.247,0.259,1190028.2
2022-10-04,0.258,0.26,0.255,0.256,787145.0
2022-10-05,0.256,0.258,0.249,0.254,747782.4
2022-10-06,0.254,0.255,0.25,0.251,407388.1
2022-10-07,0.252,0.252,0.246,0.247,379247.2
2022-10-08,0.248,0.25,0.246,0.246,404197.0
2022-10-09,0.247,0.252,0.245,0.248,377161.4
2022-10-10,0.248,0.25,0.242,0.242,538297.9
2022-10-11,0.241,0.242,0.231,0.233,1025702.2
2022-10-12,0.234,0.237,0.232,0.234,345256.8
2022-10-13,0.235,0.235,0.218,0.23,1043664.3
2022-10-14,0.229,0.237,0.226,0.229,1785690.2
2022-10-15,0.229,0.273,0.227,0.241,7972461.2
2022-10-16,0.242,0.27,0.241,0.248,6110836.8
2022-10-17,0.249,0.254,0.243,0.247,1728890.9
2022-10-18,0.246,0.251,0.24,0.241,974319.0
2022-10-19,0.241,0.242,0.23,0.232,1048747.5
2022-10-20,0.232,0.238,0.228,0.231,775812.4
2022-10-21,0.231,0.234,0.225,0.23,762394.9
2022-10-22,0.23,0.239,0.23,0.233,866173.0
2022-10-23,0.233,0.239,0.229,0.232,875376.7
2022-10-24,0.233,0.234,0.229,0.231,498361.8
2022-10-25,0.231,0.237,0.228,0.234,736139.1
2022-10-26,0.233,0.269,0.232,0.24,5200076.9
2022-10-27,0.24,0.259,0.239,0.245,2585086.1
2022-10-28,0.244,0.246,0.235,0.241,1357514.3
2022-10-29,0.241,0.253,0.24,0.248,1602079.0
2022-10-30,0.248,0.258,0.243,0.244,1719519.0
2022-10-31,0.244,0.249,0.241,0.244,1011063.7
2022-11-01,0.244,0.246,0.24,0.24,535675.2
2022-11-02,0.24,0.242,0.234,0.236,724917.7
2022-11-03,0.235,0.251,0.235,0.244,1675210.7
2022-11-04,0.244,0.258,0.243,0.255,2119643.4
2022-11-05,0.256,0.26,0.254,0.256,1467728.5
2022-11-06,0.257,0.264,0.248,0.248,1721163.0
2022-11-07,0.249,0.25,0.24,0.243,1205314.2
2022-11-08,0.243,0.246,0.184,0.209,12084895.7
2022-11-09,0.208,0.209,0.172,0.174,3263445.2
2022-11-10,0.175,0.205,0.174,0.201,2488551.8
2022-11-11,0.2,0.201,0.187,0.196,1414853.5
2022-11-12,0.196,0.204,0.19,0.191,1845414.0
2022-11-13,0.191,0.227,0.19,0.193,6300056.1
2022-11-14,0.192,0.203,0.184,0.201,2319586.6
2022-11-15,0.201,0.206,0.194,0.196,1561016.6
2022-11-16,0.197,0.198,0.19,0.193,852055.8
2022-11-17,0.192,0.194,0.19,0.192,644505.2
2022-11-18,0.192,0.267,0.191,0.236,28577984.1
2022-11-19,0.236,0.25,0.207,0.21,11118074.7
2022-11-20,0.21,0.22,0.203,0.204,4396471.2
2022-11-21,0.204,0.221,0.193,0.2,3560408.3
2022-11-22,0.2,0.205,0.192,0.204,1943851.5
2022-11-23,0.203,0.328,0.203,0.25,45578914.9
2022-11-24,0.249,0.289,0.228,0.231,13915033.2
2022-11-25,0.232,0.235,0.219,0.223,3998342.1
2022-11-26,0.224,0.242,0.222,0.233,3216614.7
2022-11-27,0.233,0.32,0.231,0.246,22261895.5
2022-11-28,0.246,0.318,0.235,0.298,21395545.8
2022-11-29,0.298,0.321,0.273,0.28,14328570.8
2022-11-30,0.28,0.303,0.278,0.292,6137255.1
2022-12-01,0.291,0.385,0.289,0.302,20786660.7
2022-12-02,0.302,0.321,0.29,0.305,6551507.4
2022-12-03,0.305,0.305,0.287,0.287,2114924.3
2022-12-04,0.287,0.305,0.285,0.3,1871638.6
2022-12-05,0.301,0.32,0.292,0.295,3554243.3
2022-12-06,0.296,0.583,0.28,0.418,88455122.2
2022-12-07,0.419,0.509,0.372,0.437,47234815.0
2022-12-08,0.437,0.513,0.405,0.411,32566254.7
2022-12-09,0.411,0.42,0.365,0.371,19623861.6
2022-12-10,0.372,0.41,0.354,0.355,17362502.3
2022-12-11,0.355,0.39,0.337,0.377,14757624.9
2022-12-12,0.376,0.393,0.329,0.342,13915476.8
2022-12-13,0.342,0.344,0.306,0.319,11188378.6
2022-12-14,0.318,0.343,0.315,0.3308,5766812.3
2022-12-15,0.3304,0.3304,0.3103,0.3108,3101576.2
2022-12-16,0.3108,0.3254,0.262,0.2682,7411058.1
2022-12-17,0.2685,0.282,0.2567,0.273,5553828.1
2022-12-18,0.2729,0.3198,0.2665,0.2928,14583498.0
2022-12-19,0.2926,0.42,0.281,0.2902,105846017.9
2022-12-20,0.2901,0.334,0.286,0.2938,26655975.1
2022-12-21,0.2935,0.3008,0.2757,0.2799,10798015.5
2022-12-22,0.2797,0.285,0.258,0.2683,8691753.4
2022-12-23,0.2683,0.279,0.2637,0.264,5316255.1
2022-12-24,0.264,0.2691,0.258,0.2603,3322520.4
2022-12-25,0.2606,0.264,0.2407,0.2433,5201812.3
2022-12-26,0.2433,0.2485,0.2366,0.2411,6191488.2
2022-12-27,0.2413,0.2691,0.2384,0.2606,19714518.2
2022-12-28,0.2605,0.261,0.233,0.2345,6407195.9
2022-12-29,0.2345,0.2488,0.2337,0.2381,5583713.3
2022-12-30,0.2381,0.2403,0.2232,0.2289,3862229.5
2022-12-31,0.2289,0.2321,0.226,0.2269,2172906.4
2023-01-01,0.2266,0.23,0.2232,0.2281,2075915.0
2023-01-02,0.2282,0.2447,0.2249,0.2414,7942356.6
2023-01-03,0.2414,0.2418,0.225,0.229,6368017.5
2023-01-04,0.2291,0.2395,0.2289,0.2336,5776326.5
2023-01-05,0.2335,0.2391,0.22,0.2277,4514702.0
2023-01-06,0.2275,0.23,0.2207,0.2293,3058452.5
2023-01-07,0.2294,0.2339,0.2256,0.2278,3511947.4
2023-01-08,0.2277,0.2329,0.2265,0.232,2751704.7
2023-01-09,0.2321,0.255,0.2312,0.241,11228827.1
2023-01-10,0.2411,0.2958,0.2391,0.2615,38379255.0
2023-01-11,0.2612,0.31,0.2513,0.2889,28495857.0
2023-01-12,0.2885,0.2893,0.2704,0.2804,12893733.6
2023-01-13,0.2804,0.2823,0.2588,0.2806,11389960.3
2023-01-14,0.2808,0.3015,0.2773,0.2842,18704437.6
2023-01-15,0.2844,0.2879,0.27,0.2801,9453662.2
2023-01-16,0.2802,0.2981,0.2764,0.289,12855306.1
2023-01-17,0.2894,0.2965,0.2808,0.2896,8050478.3
2023-01-18,0.2894,0.3236,0.2725,0.275,22831863.0
2023-01-19,0.2749,0.282,0.27,0.2806,6994019.9
2023-01-20,0.2807,0.3076,0.28,0.3053,8566688.3
2023-01-21,0.3054,0.31,0.2832,0.2934,8613675.4
