date,open,high,low,close,volume
2022-08-23,0.0645,0.0672,0.062,0.0662,8426727.0
2022-08-24,0.0662,0.0775,0.0639,0.0663,42290944.0
2022-08-25,0.0665,0.0695,0.0658,0.0679,9701107.0
2022-08-26,0.0678,0.0705,0.0618,0.0625,17122192.0
2022-08-27,0.0625,0.068,0.0609,0.0636,16339144.0
2022-08-28,0.0637,0.0651,0.0603,0.0605,5314069.0
2022-08-29,0.0606,0.0653,0.0594,0.065,8347725.0
2022-08-30,0.0646,0.0664,0.0608,0.0621,9144834.0
2022-08-31,0.0622,0.0652,0.0614,0.063,5580570.0
2022-09-01,0.0631,0.0659,0.0611,0.0642,9223327.0
2022-09-02,0.0644,0.066,0.0632,0.0643,5583204.0
2022-09-03,0.0643,0.0648,0.0633,0.0639,1980172.0
2022-09-04,0.064,0.0644,0.0627,0.0637,3019923.0
2022-09-05,0.0637,0.0662,0.062,0.065,9557708.0
2022-09-06,0.0649,0.0677,0.0613,0.0615,9542233.0
2022-09-07,0.0615,0.0663,0.0598,0.064,6236101.0
2022-09-08,0.0643,0.0652,0.0623,0.0632,7411078.0
2022-09-09,0.0633,0.068,0.0632,0.0675,11116690.0
2022-09-10,0.0675,0.0694,0.0666,0.0669,9048166.0
2022-09-11,0.0669,0.0735,0.0657,0.0678,17519860.0
2022-09-12,0.0678,0.0684,0.0636,0.0644,15293543.0
2022-09-13,0.0644,0.0659,0.06,0.06,12897941.0
2022-09-14,0.0602,0.065,0.0597,0.0629,16249219.0
2022-09-15,0.0627,0.0638,0.0584,0.0587,10936296.0
2022-09-16,0.0587,0.0594,0.0562,0.0571,6925837.0
2022-09-17,0.0573,0.0623,0.0573,0.0615,14449172.0
2022-09-18,0.0615,0.0667,0.0553,0.0561,31600582.0
2022-09-19,0.0561,0.0572,0.0543,0.0563,10224216.0
2022-09-20,0.0563,0.0589,0.0539,0.054,11927621.0
2022-09-21,0.0541,0.0554,0.0506,0.0519,9969950.0
2022-09-22,0.0518,0.0559,0.0511,0.0552,9563078.0
2022-09-23,0.0553,0.065,0.0538,0.0553,81054645.0
2022-09-24,0.0553,0.057,0.0542,0.0544,17173016.0
2022-09-25,0.0543,0.0557,0.0534,0.054,4705623.0
2022-09-26,0.054,0.0546,0.0524,0.0535,5593799.0
2022-09-27,0.0535,0.0553,0.0517,0.0528,6234310.0
2022-09-28,0.0528,0.0529,0.0503,0.0522,7044166.0
2022-09-29,0.0523,0.0527,0.0505,0.0526,12466321.0
2022-09-30,0.0527,0.0609,0.0511,0.0514,56182839.0
2022-10-01,0.0515,0.0558,0.0511,0.052,29423026.0
2022-10-02,0.052,0.055,0.0508,0.052,23449477.0
2022-10-03,0.052,0.0536,0.0516,0.0526,9885896.0
2022-10-04,0.0526,0.0543,0.0523,0.054,8812692.0
2022-10-05,0.0539,0.054,0.0516,0.0523,7808630.0
2022-10-06,0.0523,0.0526,0.0511,0.0512,6299584.0
2022-10-07,0.0513,0.0526,0.0505,0.0522,10420078.0
2022-10-08,0.0521,0.0525,0.051,0.0516,5763445.0
2022-10-09,0.0518,0.0519,0.0504,0.0508,5051714.0
2022-10-10,0.0507,0.0523,0.049,0.0501,14551405.0
2022-10-11,0.05,0.0501,0.0476,0.0478,9666056.0
2022-10-12,0.0478,0.0485,0.0464,0.0468,9172448.0
2022-10-13,0.0467,0.0468,0.0412,0.0454,20055207.0
2022-10-14,0.0455,0.049,0.0449,0.0463,21857392.0
2022-10-15,0.0462,0.0582,0.046,0.0529,151373334.0
2022-10-16,0.053,0.0584,0.0473,0.049,64504429.0
2022-10-17,0.049,0.05,0.048,0.0489,14503685.0
2022-10-18,0.0489,0.0508,0.0467,0.0481,17990125.0
2022-10-19,0.0481,0.0482,0.0456,0.0457,8669123.0
2022-10-20,0.0458,0.0471,0.0444,0.0447,6145797.0
2022-10-21,0.0447,0.048,0.044,0.0464,11448757.0
2022-10-22,0.0464,0.0496,0.0454,0.0486,23121097.0
2022-10-23,0.0485,0.0492,0.0468,0.0476,12158435.0
2022-10-24,0.0477,0.0478,0.0455,0.0464,7325769.0
2022-10-25,0.0463,0.0481,0.0457,0.0473,6609440.0
2022-10-26,0.0472,0.0485,0.047,0.0475,6710233.0
2022-10-27,0.0477,0.0487,0.0466,0.0467,8632669.0
2022-10-28,0.0467,0.0485,0.0459,0.0479,7511919.0
2022-10-29,0.0479,0.0513,0.0477,0.0491,13313768.0
2022-10-30,0.0492,0.0527,0.0491,0.0498,20351861.0
2022-10-31,0.0498,0.0501,0.0481,0.0485,6105183.0
2022-11-01,0.0484,0.0493,0.0482,0.0491,4853985.0
2022-11-02,0.0491,0.0523,0.0489,0.0497,19758330.0
2022-11-03,0.0497,0.0529,0.0496,0.0506,19863098.0
2022-11-04,0.0505,0.0567,0.0504,0.0539,25289411.0
2022-11-05,0.0539,0.0551,0.0529,0.0534,12881079.0
2022-11-06,0.0535,0.0549,0.051,0.0512,11456118.0
2022-11-07,0.0512,0.055,0.0497,0.0515,33161298.0
2022-11-08,0.0516,0.0678,0.0378,0.041,205544915.0
2022-11-09,0.041,0.0474,0.0312,0.0319,114812456.0
2022-11-10,0.0318,0.0413,0.0313,0.0365,52663780.0
2022-11-11,0.0364,0.0379,0.0329,0.036,22433357.0
2022-11-12,0.036,0.0364,0.0341,0.0348,13196285.0
2022-11-13,0.0348,0.0376,0.0334,0.0347,26766149.0
2022-11-14,0.0347,0.0356,0.0316,0.0346,15846109.0
2022-11-15,0.0346,0.0378,0.0341,0.0349,23799153.0
2022-11-16,0.0347,0.0353,0.0334,0.0336,7770586.0
2022-11-17,0.0337,0.0343,0.0322,0.0337,11855365.0
2022-11-18,0.0337,0.0344,0.0321,0.0327,10087712.0
2022-11-19,0.0328,0.0342,0.0322,0.0333,11309996.0
2022-11-20,0.0332,0.0368,0.0318,0.0332,46979887.0
2022-11-21,0.0331,0.0423,0.0319,0.0336,190406230.0
2022-11-22,0.0338,0.0359,0.0325,0.0347,61241708.0
2022-11-23,0.0347,0.0418,0.0341,0.0375,66587512.0
2022-11-24,0.0374,0.0385,0.0354,0.0365,27220980.0
2022-11-25,0.0365,0.0395,0.0347,0.039,52705371.0
2022-11-26,0.0391,0.0486,0.0379,0.041,118981515.0
2022-11-27,0.041,0.0429,0.0372,0.0374,32438777.0
2022-11-28,0.0374,0.0397,0.0356,0.0379,33418096.0
2022-11-29,0.0378,0.0424,0.0364,0.0399,47831866.0
2022-11-30,0.0398,0.0447,0.0395,0.041,83074922.0
2022-12-01,0.041,0.0415,0.0381,0.0386,22257131.0
2022-12-02,0.0386,0.0402,0.0379,0.0396,13093537.0
2022-12-03,0.0396,0.044,0.0376,0.0384,52524481.0
2022-12-04,0.0384,0.0429,0.0382,0.0391,42074312.0
2022-12-05,0.0392,0.0395,0.0383,0.0386,8827485.0
2022-12-06,0.0387,0.0392,0.0382,0.039,9350608.0
2022-12-07,0.0389,0.0391,0.0365,0.0367,8920249.0
2022-12-08,0.0369,0.0378,0.0359,0.0372,9966714.0
2022-12-09,0.0372,0.0384,0.0367,0.0372,10962824.0
2022-12-10,0.0371,0.038,0.0366,0.0371,9357688.0
2022-12-11,0.0371,0.039,0.037,0.0372,13833771.0
2022-12-12,0.0373,0.0374,0.0354,0.0356,10124149.0
2022-12-13,0.0357,0.0357,0.0334,0.0345,13580182.0
2022-12-14,0.0345,0.0352,0.0335,0.0346,9980066.0
2022-12-15,0.0346,0.0347,0.0327,0.0332,9052275.0
2022-12-16,0.0331,0.0336,0.028,0.0282,12627151.0
2022-12-17,0.0282,0.0338,0.0282,0.031,29627826.0
2022-12-18,0.031,0.032,0.0302,0.0303,6145500.0
2022-12-19,0.0304,0.0308,0.0272,0.0276,13912593.0
2022-12-20,0.0276,0.0292,0.0275,0.029,4869767.0
2022-12-21,0.0291,0.0292,0.0277,0.0279,4762147.0
2022-12-22,0.0279,0.0281,0.0265,0.0276,5720216.0
2022-12-23,0.0276,0.0283,0.0272,0.028,4841502.0
2022-12-24,0.028,0.032,0.0279,0.0299,66758449.0
2022-12-25,0.0299,0.0305,0.0283,0.0287,12765726.0
2022-12-26,0.0286,0.0291,0.0283,0.0288,7507948.0
2022-12-27,0.0289,0.0289,0.0276,0.0278,4735305.0
