date,open,high,low,close,volume
2022-08-23,0.0342,0.0346,0.0331,0.0345,9463509.3
2022-08-24,0.0345,0.0364,0.0338,0.0346,19991786.5
2022-08-25,0.0346,0.0366,0.0346,0.0355,9648807.9
2022-08-26,0.0355,0.0358,0.0317,0.0321,19776696.3
2022-08-27,0.032,0.0323,0.0315,0.0322,8721010.8
2022-08-28,0.0322,0.0337,0.0313,0.0313,10444306.3
2022-08-29,0.0314,0.0329,0.0312,0.0327,11543385.3
2022-08-30,0.0327,0.034,0.0317,0.0327,22118875.7
2022-08-31,0.0326,0.0337,0.0325,0.0328,11768314.5
2022-09-01,0.0328,0.033,0.0316,0.0326,6290750.5
2022-09-02,0.0326,0.0351,0.0319,0.0323,17174257.7
2022-09-03,0.0323,0.0326,0.032,0.0323,3706465.8
2022-09-04,0.0323,0.0326,0.032,0.0325,4560613.9
2022-09-05,0.0325,0.0326,0.0317,0.0323,4714617.3
2022-09-06,0.0324,0.033,0.0305,0.0305,11065084.2
2022-09-07,0.0305,0.0319,0.03,0.0316,13114593.1
2022-09-08,0.0316,0.0412,0.031,0.0321,103501292.5
2022-09-09,0.0321,0.0338,0.032,0.0337,24209244.6
2022-09-10,0.0337,0.0378,0.0332,0.0347,110179917.1
2022-09-11,0.0347,0.0399,0.034,0.0365,137556682.5
2022-09-12,0.0364,0.0367,0.0341,0.0345,31804741.1
2022-09-13,0.0344,0.0345,0.0315,0.0317,21834804.7
2022-09-14,0.0317,0.0326,0.0311,0.0323,10370004.3
2022-09-15,0.0323,0.0326,0.03,0.03,30832304.9
2022-09-16,0.03,0.0332,0.0298,0.0317,77388226.6
2022-09-17,0.0317,0.0324,0.0317,0.0324,19618511.2
2022-09-18,0.0323,0.0332,0.0304,0.0305,18246383.2
2022-09-19,0.0305,0.0308,0.0294,0.0306,9803317.1
2022-09-20,0.0306,0.0312,0.0298,0.0302,17115050.7
2022-09-21,0.0302,0.0317,0.0292,0.03,40422599.5
2022-09-22,0.03,0.0311,0.0296,0.031,11276877.0
2022-09-23,0.0311,0.0312,0.03,0.0309,10768922.4
2022-09-24,0.031,0.0311,0.0306,0.0307,4684367.4
2022-09-25,0.0308,0.0312,0.0302,0.0302,5715530.0
2022-09-26,0.0302,0.0303,0.0294,0.0301,6772060.8
2022-09-27,0.0302,0.0309,0.0294,0.0299,5557278.4
2022-09-28,0.0299,0.0305,0.0289,0.0301,8383299.4
2022-09-29,0.0301,0.0306,0.0295,0.0301,5103992.7
2022-09-30,0.0302,0.0304,0.0298,0.03,4202335.3
2022-10-01,0.03,0.0303,0.0296,0.0296,4379964.2
2022-10-02,0.0296,0.0317,0.0294,0.0297,21987546.0
2022-10-03,0.0297,0.0302,0.0292,0.0301,6374205.4
2022-10-04,0.0301,0.0309,0.0299,0.0306,9082033.1
2022-10-05,0.0306,0.0306,0.0298,0.0302,5872369.8
2022-10-06,0.0302,0.0308,0.0298,0.03,11248160.6
