date,open,high,low,close,volume
2022-08-23,1.0001,1.0002,1.0,1.0,10956052.0
2022-08-24,1.0001,1.0001,0.9999,1.0,11962314.0
2022-08-25,1.0,1.0001,0.9999,1.0,8750877.0
2022-08-26,1.0,1.0002,0.9998,1.0,21221994.0
2022-08-27,1.0,1.0001,0.9999,1.0001,11651488.0
2022-08-28,1.0001,1.0002,1.0,1.0001,10426255.0
2022-08-29,1.0,1.0001,0.9999,1.0,15439394.0
2022-08-30,1.0,1.0001,0.9999,0.9999,16527760.0
2022-08-31,1.0,1.0002,0.9999,1.0001,12177748.0
2022-09-01,1.0001,1.0002,0.9999,1.0001,17447164.0
2022-09-02,1.0001,1.0001,0.9999,1.0,16994831.0
2022-09-03,1.0,1.0,0.9999,1.0,10756836.0
2022-09-04,1.0,1.0001,0.9999,0.9999,12308364.0
2022-09-05,0.9999,1.0001,0.9999,1.0,12345850.0
2022-09-06,1.0,1.0002,0.9999,1.0001,18987319.0
2022-09-07,1.0001,1.0001,0.9999,0.9999,7750202.0
2022-09-08,1.0,1.0001,0.9999,0.9999,5215607.0
2022-09-09,0.9999,1.0,0.9997,0.9997,9911188.0
2022-09-10,0.9997,0.9999,0.9995,0.9997,6975735.0
2022-09-11,0.9997,0.9998,0.9996,0.9998,5445581.0
2022-09-12,0.9998,0.9999,0.9997,0.9998,7871115.0
2022-09-13,0.9998,1.0001,0.9997,1.0,12411961.0
2022-09-14,1.0,1.0002,0.9998,0.9999,7085345.0
2022-09-15,0.9999,1.0003,0.9997,1.0001,11202985.0
2022-09-16,1.0001,1.0002,0.9999,1.0,8157605.0
2022-09-17,1.0,1.0001,0.9999,1.0,3729072.0
2022-09-18,0.9999,1.0001,0.9999,1.0,6212595.0
2022-09-19,1.0,1.0001,0.9998,0.9998,9054380.0
2022-09-20,0.9998,1.0,0.9998,0.9999,6529626.0
2022-09-21,1.0,1.0,0.9999,1.0,6628235.0
2022-09-22,1.0,1.0002,0.9999,1.0,8007352.0
2022-09-23,1.0,1.0003,1.0,1.0,15204879.0
2022-09-24,1.0,1.0001,0.9999,1.0,10123142.0
2022-09-25,1.0,1.0001,0.9999,1.0,3584544.0
2022-09-26,1.0,1.0,0.9999,0.9999,487126.0
2023-03-11,1.0,1.19,0.9612,0.9928,5583026.0
2023-03-12,0.9928,0.9985,0.9828,0.994,33254864.0
2023-03-13,0.9942,0.997,0.9865,0.996,18026623.0
2023-03-14,0.9955,0.9979,0.9905,0.9974,8151575.0
2023-03-15,0.9973,0.9995,0.9942,0.9966,7508069.0
2023-03-16,0.9962,0.9991,0.9961,0.9978,7207528.0
2023-03-17,0.9978,0.999,0.9967,0.9984,5073616.0
2023-03-18,0.9984,0.9989,0.9962,0.9973,7530099.0
2023-03-19,0.9973,0.9987,0.9962,0.997,2156454.0
2023-03-20,0.997,0.9985,0.9963,0.9974,6654321.0
2023-03-21,0.9974,0.9995,0.9965,0.9981,10717600.0
2023-03-22,0.9981,0.9999,0.9965,0.9976,82935386.0
2023-03-23,0.9975,0.9998,0.996,0.9981,91625195.0
2023-03-24,0.9981,0.9992,0.9975,0.9988,71319967.0
2023-03-25,0.9987,0.9995,0.9982,0.9988,69169651.0
2023-03-26,0.9988,0.9994,0.9985,0.9989,72981068.0
2023-03-27,0.9989,0.9994,0.9986,0.9993,118703416.0
2023-03-28,0.9993,0.9999,0.9991,0.9996,107956189.0
2023-03-29,0.9997,0.9998,0.9994,0.9997,112577744.0
2023-03-30,0.9997,1.0076,0.9995,0.9999,196687764.0
2023-03-31,0.9999,1.0011,0.9997,0.9999,178979295.0
2023-04-01,0.9998,1.0002,0.9996,0.9999,75549934.0
2023-04-02,0.9998,0.9999,0.9992,0.9994,63015329.0
2023-04-03,0.9993,0.9999,0.999,0.9996,124070464.0
2023-04-04,0.9996,0.9999,0.9995,0.9997,86459662.0
2023-04-05,0.9997,1.0001,0.9995,0.9998,119398828.0
2023-04-06,0.9998,1.0,0.9994,0.9995,92148822.0
2023-04-07,0.9996,0.9997,0.9993,0.9996,81619102.0
2023-04-08,0.9996,0.9997,0.9995,0.9996,43225748.0
2023-04-09,0.9996,1.0,0.9994,0.9999,69252148.0
2023-04-10,0.9999,1.004,0.9996,0.9997,107660914.0
2023-04-11,0.9997,0.9999,0.9994,0.9995,138097279.0
2023-04-12,0.9994,0.9995,0.9991,0.9993,143721354.0
2023-04-13,0.9993,0.9995,0.9988,0.999,132225243.0
2023-04-14,0.999,0.9994,0.9987,0.9991,160367298.0
2023-04-15,0.9992,0.9992,0.9989,0.999,100843637.0
2023-04-16,0.999,0.9995,0.999,0.9993,105660557.0
2023-04-17,0.9994,0.9996,0.9992,0.9994,109035868.0
2023-04-18,0.9994,1.0,0.9993,0.9999,147775693.0
2023-04-19,0.9999,0.9999,0.9993,0.9993,140862617.0
2023-04-20,0.9993,0.9998,0.9993,0.9997,160548632.0
2023-04-21,0.9996,0.9999,0.9995,0.9998,146369519.0
2023-04-22,0.9998,1.0,0.9997,0.9997,98563440.0
2023-04-23,0.9998,0.9998,0.9995,0.9996,101848093.0
2023-04-24,0.9996,0.9997,0.9993,0.9993,139494698.0
2023-04-25,0.9993,0.9995,0.9991,0.9994,132824071.0
2023-04-26,0.9993,0.9994,0.9984,0.999,241608219.0
2023-04-27,0.999,0.9992,0.9983,0.9986,202183256.0
2023-04-28,0.9985,0.9992,0.9982,0.9992,131403714.0
2023-04-29,0.9992,0.9994,0.9989,0.9992,34023672.0
2023-04-30,0.9993,1.0116,0.999,1.0083,314648864.0
2023-05-01,1.0083,1.2082,1.0018,1.0028,632891665.0
2023-05-02,1.0029,1.0034,0.9986,0.9988,433173269.0
2023-05-03,0.9988,1.0,0.9986,0.9994,370530361.0
2023-05-04,0.9994,0.9995,0.9989,0.9991,120673508.0
2023-05-05,0.9991,0.9993,0.9988,0.999,129784711.0
2023-05-06,0.9991,0.9991,0.9981,0.9984,158060733.0
2023-05-07,0.9984,0.9989,0.9982,0.9987,87196815.0
2023-05-08,0.9986,0.9991,0.9983,0.9989,134799283.0
2023-05-09,0.9989,0.9993,0.9986,0.9991,91728242.0
2023-05-10,0.999,0.9993,0.9988,0.9991,123824463.0
2023-05-11,0.999,0.9992,0.999,0.9992,75668532.0
2023-05-12,0.9992,0.9996,0.999,0.9994,112939165.0
2023-05-13,0.9995,0.9995,0.9994,0.9994,34042637.0
2023-05-14,0.9994,0.9996,0.999,0.9992,46820320.0
2023-05-15,0.9991,0.9996,0.999,0.9993,89083558.0
2023-05-16,0.9993,0.9996,0.9992,0.9994,52712638.0
2023-05-17,0.9995,0.9998,0.9991,0.9997,106484044.0
2023-05-18,0.9998,0.9998,0.9994,0.9996,132257908.0
2023-05-19,0.9995,0.9998,0.9995,0.9996,80768824.0
2023-05-20,0.9996,0.9997,0.9994,0.9995,44987854.0
2023-05-21,0.9994,0.9996,0.9993,0.9994,43429183.0
2023-05-22,0.9994,0.9997,0.9993,0.9996,85295871.0
2023-05-23,0.9996,0.9997,0.9993,0.9995,146083016.0
2023-05-24,0.9996,0.9997,0.9995,0.9996,114338525.0
2023-05-25,0.9996,0.9998,0.9995,0.9998,91416823.0
2023-05-26,0.9997,0.9998,0.9995,0.9998,130334111.0
2023-05-27,0.9998,0.9998,0.9996,0.9996,39867707.0
2023-05-28,0.9997,0.9999,0.9996,0.9997,87717974.0
2023-05-29,0.9997,0.9998,0.9994,0.9994,91789113.0
2023-05-30,0.9995,0.9996,0.9994,0.9995,81856507.0
2023-05-31,0.9995,0.9996,0.9992,0.9995,108143959.0
2023-06-01,0.9996,0.9997,0.9994,0.9996,114265689.0
2023-06-02,0.9996,0.9997,0.9994,0.9996,115149197.0
2023-06-03,0.9996,0.9996,0.9994,0.9995,52438243.0
2023-06-04,0.9995,0.9995,0.9991,0.9995,125297226.0
2023-06-05,0.9995,0.9999,0.9989,0.9992,232910496.0
2023-06-06,0.9993,0.9996,0.9991,0.9994,181662295.0
2023-06-07,0.9994,0.9996,0.9989,0.9993,237291513.0
2023-06-08,0.9992,0.9994,0.999,0.9994,141990271.0
2023-06-09,0.9993,0.9994,0.999,0.9992,105478803.0
2023-06-10,0.9992,0.9993,0.9906,0.995,359311447.0
2023-06-11,0.995,0.9988,0.9943,0.9984,148690652.0
2023-06-12,0.9984,0.9989,0.9981,0.9983,118669582.0
2023-06-13,0.9983,1.002,0.998,1.0009,433415359.0
2023-06-14,1.0009,1.0033,1.0008,1.0013,234542205.0
2023-06-15,1.0013,1.0034,1.0009,1.0026,208203161.0
2023-06-16,1.0027,1.0039,1.0021,1.0028,189163231.0
2023-06-17,1.0028,1.0038,1.0024,1.0029,87893607.0
2023-06-18,1.0029,1.0036,1.0023,1.0027,87577227.0
2023-06-19,1.0027,1.0033,1.0024,1.0027,97447189.0
2023-06-20,1.0026,1.0031,1.002,1.0029,169817308.0
2023-06-21,1.0029,1.0034,0.9999,1.0004,448635848.0
2023-06-22,1.0004,1.0006,0.9988,0.9991,304611453.0
2023-06-23,0.9991,0.9999,0.9989,0.999,267884842.0
2023-06-24,0.999,0.9993,0.9989,0.9991,120714344.0
2023-06-25,0.9991,0.9996,0.999,0.9991,125703031.0
2023-06-26,0.9992,0.9995,0.9988,0.999,174845004.0
2023-06-27,0.999,0.9993,0.9988,0.9989,208030903.0
2023-06-28,0.9989,0.999,0.9977,0.9987,255157990.0
2023-06-29,0.9987,0.9993,0.9982,0.9986,131462270.0
2023-06-30,0.9986,0.9991,0.9983,0.9988,293918561.0
2023-07-01,0.9989,0.999,0.9986,0.9987,79552679.0
2023-07-02,0.9988,0.9992,0.9984,0.9988,82619100.0
2023-07-03,0.9989,1.001,0.9988,1.0,287176709.0
2023-07-04,1.0,1.0002,0.9997,0.9998,164955173.0
2023-07-05,0.9998,1.0002,0.9998,1.0002,131763517.0
2023-07-06,1.0002,1.0004,0.9998,0.9999,296538926.0
2023-07-07,0.9999,1.0003,0.9996,1.0,239330799.0
2023-07-08,1.0,1.0001,0.9998,0.9999,78938890.0
2023-07-09,0.9999,0.9999,0.9992,0.9994,114469193.0
2023-07-10,0.9994,0.9998,0.999,0.9995,174743531.0
2023-07-11,0.9995,0.9999,0.9992,0.9995,167175623.0
2023-07-12,0.9995,0.9997,0.9993,0.9994,168373904.0
2023-07-13,0.9993,1.0,0.9992,0.9996,225712503.0
2023-07-14,0.9997,0.9998,0.999,0.9992,219120678.0
2023-07-15,0.9992,0.9995,0.9992,0.9993,124895948.0
2023-07-16,0.9993,0.9995,0.9991,0.9993,86367811.0
2023-07-17,0.9992,0.9995,0.9992,0.9995,115363113.0
2023-07-18,0.9995,0.9997,0.9994,0.9996,144112407.0
2023-07-19,0.9996,1.0,0.9996,0.9999,112171468.0
2023-07-20,0.9998,1.0003,0.9994,0.9994,168488178.0
2023-07-21,0.9995,0.9998,0.9992,0.9996,114896209.0
2023-07-22,0.9995,0.9997,0.9994,0.9994,66607434.0
2023-07-23,0.9995,1.0,0.9994,0.9998,74283158.0
