date,open,high,low,close,volume
2022-08-23,1.0363,1.0466,1.0,1.0251,3567546.0
2022-08-24,1.0252,1.05,1.0127,1.0301,2404143.0
2022-08-25,1.0311,1.0404,0.99,1.008,3135101.0
2022-08-26,1.0075,1.0316,0.95,0.9592,4225799.0
2022-08-27,0.9589,1.0094,0.93,0.963,3878846.0
2022-08-28,0.9628,0.9732,0.932,0.9334,1597958.0
2022-08-29,0.9338,0.9695,0.9255,0.9656,2289323.0
2022-08-30,0.9653,0.9986,0.9377,0.9633,2636975.0
2022-08-31,0.9657,0.9898,0.95,0.9535,1670753.0
2022-09-01,0.9527,0.9631,0.9342,0.9574,1920147.0
2022-09-02,0.9567,0.9795,0.947,0.9679,1883269.0
2022-09-03,0.9679,0.972,0.9513,0.9676,727812.0
2022-09-04,0.9672,0.98,0.96,0.9786,774545.0
2022-09-05,0.9784,0.988,0.9545,0.9784,1492250.0
2022-09-06,0.9795,0.9942,0.927,0.938,2797617.0
2022-09-07,0.9381,0.9786,0.9297,0.968,1866306.0
2022-09-08,0.9687,0.98,0.9599,0.9741,1567845.0
2022-09-09,0.9745,1.0574,0.973,1.0469,3456773.0
2022-09-10,1.0475,1.0577,1.01,1.0341,1815425.0
2022-09-11,1.0341,1.0381,1.01,1.0275,1244234.0
2022-09-12,1.0265,1.0272,0.9836,1.0045,2999283.0
2022-09-13,1.0045,1.1237,1.0,1.0223,8082062.0
2022-09-14,1.0223,1.054,0.99,1.0173,3499531.0
2022-09-15,1.0172,1.029,0.97,0.9834,2224220.0
2022-09-16,0.9852,0.996,0.9441,0.9744,3443019.0
2022-09-17,0.9729,1.0073,0.9656,0.9979,1467083.0
2022-09-18,0.9984,0.9992,0.925,0.9352,2082317.0
2022-09-19,0.9354,0.9495,0.89,0.9446,3270928.0
2022-09-20,0.9451,0.95,0.9021,0.9058,1858846.0
2022-09-21,0.9061,0.9426,0.8755,0.8937,2838243.0
2022-09-22,0.8936,0.9384,0.8857,0.9326,1684775.0
2022-09-23,0.933,0.94,0.8943,0.917,1811441.0
2022-09-24,0.9177,0.935,0.91,0.9169,1132614.0
2022-09-25,0.9174,0.9337,0.881,0.9007,1401191.0
2022-09-26,0.9006,0.92,0.8889,0.9069,1392023.0
2022-09-27,0.9063,0.94,0.891,0.903,2429415.0
2022-09-28,0.9039,0.925,0.8882,0.9053,1750892.0
2022-09-29,0.9053,0.9166,0.89,0.9035,1385297.0
2022-09-30,0.9032,0.91,0.884,0.8963,1805929.0
2022-10-01,0.8972,0.8988,0.8792,0.8901,1074012.0
2022-10-02,0.8903,0.9477,0.8764,0.8869,2878626.0
2022-10-03,0.8871,0.909,0.8802,0.9058,1564005.0
2022-10-04,0.9059,0.9269,0.8969,0.918,1790964.0
2022-10-05,0.918,1.02,0.9037,0.99,6288897.0
2022-10-06,0.9903,1.0211,0.9569,0.9673,11179006.0
2022-10-07,0.9678,0.9833,0.9111,0.9423,3028607.0
2022-10-08,0.9423,0.9458,0.93,0.9356,627917.0
2022-10-09,0.9359,0.9577,0.9293,0.9431,936465.0
2022-10-10,0.943,0.949,0.9243,0.9327,1009034.0
2022-10-11,0.9329,0.9699,0.9215,0.9454,1522127.0
2022-10-12,0.9458,0.96,0.934,0.9569,946630.0
2022-10-13,0.957,0.9804,0.9001,0.9674,2908057.0
2022-10-14,0.966,0.9949,0.966,0.9771,1840789.0
2022-10-15,0.9771,0.992,0.9524,0.9868,1480840.0
2022-10-16,0.9868,1.0467,0.9847,1.0344,3222010.0
2022-10-17,1.0344,1.1264,1.0263,1.0972,3588966.0
2022-10-18,1.0973,1.1154,1.0472,1.0667,2223464.0
2022-10-19,1.0669,1.1199,1.0605,1.0985,3807159.0
2022-10-20,1.0989,1.14,1.0824,1.1149,3741775.0
2022-10-21,1.1149,1.1371,1.09,1.1318,2296513.0
2022-10-22,1.1319,1.14,1.1101,1.1193,1524370.0
2022-10-23,1.1204,1.1254,1.0964,1.1221,1570909.0
2022-10-24,1.1235,1.1254,1.04,1.0562,3237616.0
2022-10-25,1.0574,1.1366,1.0467,1.1139,2935263.0
2022-10-26,1.1132,1.2,1.1114,1.1837,4772046.0
2022-10-27,1.1841,1.1914,1.122,1.1315,3012322.0
2022-10-28,1.1315,1.1635,1.1048,1.1478,2953576.0
2022-10-29,1.1478,1.1644,1.1333,1.149,2053604.0
2022-10-30,1.1478,1.1937,1.141,1.188,2158269.0
2022-10-31,1.1886,1.2655,1.1773,1.2323,5966265.0
2022-11-01,1.2323,1.2465,1.199,1.2017,2088145.0
2022-11-02,1.2014,1.2097,1.13,1.1667,4432171.0
2022-11-03,1.1667,1.1989,1.1538,1.1573,2288884.0
2022-11-04,1.1571,1.2345,1.1533,1.2234,3417342.0
2022-11-05,1.2242,1.2297,1.2004,1.2047,1520009.0
2022-11-06,1.2046,1.2297,1.1739,1.1776,1632473.0
2022-11-07,1.1764,1.1962,1.1505,1.177,2014477.0
2022-11-08,1.1786,1.245,1.0789,1.161,12174755.0
2022-11-09,1.1611,1.2181,0.9898,1.047,11461881.0
2022-11-10,1.0472,1.1948,1.0308,1.1807,6827707.0
2022-11-11,1.1826,1.21,1.1145,1.1959,4996389.0
2022-11-12,1.1968,1.45,1.1363,1.4478,17244435.0
2022-11-13,1.4478,2.34,1.3893,1.9234,110860936.11
2022-11-14,1.9237,2.7377,1.8122,2.266,88572618.4
2022-11-15,2.2634,2.447,1.9046,1.9532,40174494.0
2022-11-16,1.9546,2.4534,1.8262,2.1843,55444161.0
2022-11-17,2.1851,2.3601,2.0532,2.1175,27607104.0
2022-11-18,2.1188,2.385,2.1149,2.3174,25190414.0
2022-11-19,2.3174,2.45,2.146,2.1737,17823172.0
2022-11-20,2.1773,2.1847,1.9002,1.9348,18420497.0
2022-11-21,1.9349,2.1435,1.8448,1.9474,16201688.0
2022-11-22,1.9476,2.3124,1.9138,2.2026,20305355.0
2022-11-23,2.2026,2.2398,2.0996,2.1818,8158941.0
2022-11-24,2.1805,2.2606,2.1277,2.1603,7643877.0
2022-11-25,2.1603,2.355,2.0625,2.0886,12838772.0
2022-11-26,2.0883,2.1412,1.9698,2.0065,4555669.0
2022-11-27,2.0072,2.0671,1.8421,1.9929,9669339.0
2022-11-28,1.9929,2.1619,1.8918,2.0046,10422055.0
2022-11-29,2.0066,2.0889,1.98,2.0876,6199056.0
2022-11-30,2.088,2.14,2.0,2.0903,7715394.0
2022-12-01,2.0911,2.3,2.0322,2.2422,14273474.0
2022-12-02,2.2441,2.539,2.1735,2.46,20366407.0
2022-12-03,2.46,2.5259,2.2575,2.376,9423513.0
2022-12-04,2.3762,2.5177,2.3505,2.429,7909452.0
2022-12-05,2.4293,2.4499,2.2655,2.3264,6882515.0
2022-12-06,2.3249,2.39,2.2655,2.3397,4134927.0
2022-12-07,2.3416,2.4699,2.2951,2.453,8128035.0
2022-12-08,2.4536,2.7154,2.3867,2.6181,16145192.0
2022-12-09,2.6184,2.7237,2.5455,2.5675,8599239.0
2022-12-10,2.5681,2.6219,2.5258,2.5416,4696053.0
2022-12-11,2.5399,2.74,2.5285,2.6402,7484678.0
2022-12-12,2.6416,2.72,2.1219,2.354,20584201.0
2022-12-13,2.3527,2.3588,2.0555,2.2421,18520482.0
2022-12-14,2.2421,2.33,2.1212,2.2112,8999259.0
2022-12-15,2.2113,2.2231,2.09,2.1433,6614829.0
2022-12-16,2.1441,2.1654,1.65,1.7281,19894553.0
2022-12-17,1.7276,1.7448,1.2457,1.6778,34106528.0
2022-12-18,1.6778,1.7548,1.6058,1.7078,15348634.0
2022-12-19,1.708,1.7265,1.4114,1.4697,13070739.0
2022-12-20,1.4697,1.635,1.4641,1.6265,11828263.0
2022-12-21,1.6265,1.627,1.4902,1.5278,6283975.0
2022-12-22,1.5282,1.5369,1.4505,1.4971,4831510.0
2022-12-23,1.4952,1.532,1.4649,1.4902,3414247.0
2022-12-24,1.4902,1.5028,1.4242,1.4411,3780094.0
2022-12-25,1.4419,1.4438,1.2693,1.3668,13492410.0
2022-12-26,1.3667,1.4365,1.3283,1.3633,7207771.0
2022-12-27,1.3629,1.3935,1.3054,1.3419,5131664.0
2022-12-28,1.3424,1.3585,1.241,1.254,6190590.0
2022-12-29,1.2545,1.3843,1.2394,1.3357,11822209.0
2022-12-30,1.3356,1.3627,1.2849,1.3554,6106601.0
2022-12-31,1.3554,1.45,1.3484,1.4219,9035096.0
2023-01-01,1.421,1.4599,1.3871,1.4188,3932378.0
2023-01-02,1.4188,1.503,1.4116,1.4799,6826522.0
2023-01-03,1.4794,1.5034,1.4184,1.4488,4619785.0
2023-01-04,1.4487,1.4899,1.42,1.4482,4433464.0
2023-01-05,1.4482,1.4503,1.4,1.4014,2826653.0
2023-01-06,1.401,1.4526,1.3565,1.4107,5942943.0
2023-01-07,1.4106,1.43,1.4024,1.4124,2252024.0
2023-01-08,1.412,1.4286,1.387,1.4231,3079657.0
2023-01-09,1.4231,1.5499,1.4167,1.478,10892546.0
2023-01-10,1.478,1.4997,1.4426,1.4937,8303493.0
2023-01-11,1.4937,1.5,1.4159,1.4872,6060918.0
2023-01-12,1.4869,1.5076,1.432,1.4813,6571514.0
2023-01-13,1.4814,1.5555,1.466,1.5382,9653549.0
2023-01-14,1.5381,1.7122,1.5151,1.5791,18221919.0
2023-01-15,1.5791,1.5853,1.5114,1.554,7995333.0
2023-01-16,1.5534,1.61,1.5041,1.54,10557149.0
2023-01-17,1.5398,1.5688,1.516,1.5204,5388812.0
2023-01-18,1.5208,1.5491,1.3393,1.4028,10507044.0
2023-01-19,1.4024,1.4898,1.3788,1.4474,5516629.0
2023-01-20,1.4474,1.53,1.4222,1.5256,5790081.0
2023-01-21,1.5251,1.585,1.495,1.5097,6597966.0
2023-01-22,1.5097,1.5454,1.48,1.5135,5408688.0
2023-01-23,1.5146,1.5656,1.5098,1.5273,4354720.0
2023-01-24,1.5281,1.5828,1.4501,1.4821,4410338.0
2023-01-25,1.4825,1.532,1.4444,1.5085,4049343.0
2023-01-26,1.5097,1.5438,1.487,1.5092,4194881.0
2023-01-27,1.5079,1.85,1.48,1.699,24449311.0
2023-01-28,1.6989,1.8066,1.6733,1.7752,13285797.0
2023-01-29,1.7752,1.88,1.7185,1.7506,10204113.0
2023-01-30,1.7501,1.78,1.5816,1.6346,18638163.0
2023-01-31,1.635,1.7313,1.611,1.6602,10086668.0
2023-02-01,1.6592,1.77,1.5943,1.6879,12943373.0
2023-02-02,1.6866,1.737,1.64,1.6434,8387487.0
2023-02-03,1.6452,1.6889,1.6177,1.6888,4135373.0
2023-02-04,1.6889,1.729,1.6549,1.6903,6456750.0
2023-02-05,1.6894,1.699,1.5832,1.6012,5611354.0
2023-02-06,1.6019,1.626,1.5226,1.5667,6326665.0
2023-02-07,1.5683,1.6167,1.5614,1.6033,4424582.0
2023-02-08,1.6033,1.6176,1.525,1.5361,5058740.0
2023-02-09,1.5369,1.5527,1.3,1.3934,6968297.0
2023-02-10,1.3928,1.4557,1.3852,1.4128,3494974.0
2023-02-11,1.4115,1.4463,1.3997,1.4354,1671893.0
2023-02-12,1.4359,1.52,1.4172,1.4503,3920426.0
2023-02-13,1.4502,1.4634,1.3312,1.3726,5442261.0
2023-02-14,1.372,1.5179,1.3614,1.4335,8170394.0
2023-02-15,1.4337,1.5108,1.3936,1.4975,5672511.0
2023-02-16,1.4981,1.53,1.4023,1.4088,8788106.0
2023-02-17,1.4084,1.5,1.4032,1.4681,5010912.0
2023-02-18,1.4675,1.5,1.45,1.4679,2940648.0
2023-02-19,1.4677,1.4939,1.4328,1.4392,3596660.0
2023-02-20,1.4387,1.49,1.4304,1.4841,4101307.0
2023-02-21,1.484,1.5783,1.4473,1.491,11227429.0
2023-02-22,1.492,1.4993,1.3912,1.4363,5341493.0
2023-02-23,1.4363,1.456,1.401,1.4238,3058484.0
