date,open,high,low,close,volume
2022-08-23,6.99,7.22,6.74,7.11,1794566.82
2022-08-24,7.12,7.29,6.87,7.05,1454967.94
2022-08-25,7.05,7.25,6.92,7.03,1618060.83
2022-08-26,7.03,7.03,6.07,6.16,3447418.21
2022-08-27,6.16,6.2,5.95,6.06,2108020.78
2022-08-28,6.06,6.11,5.71,5.74,1641116.78
2022-08-29,5.74,6.4,5.68,6.34,1731326.51
2022-08-30,6.34,6.46,5.94,6.17,2274706.86
2022-08-31,6.18,6.43,6.1,6.15,4043991.47
2022-09-01,6.15,6.36,5.95,6.31,1820390.25
2022-09-02,6.32,6.7,6.19,6.4,1422913.91
2022-09-03,6.41,6.41,6.22,6.31,543996.82
2022-09-04,6.31,6.52,6.22,6.48,866358.74
2022-09-05,6.49,6.67,6.18,6.58,1890083.53
2022-09-06,6.58,6.75,5.78,5.82,2583144.95
2022-09-07,5.84,6.23,5.71,6.12,1489249.08
2022-09-08,6.12,6.26,5.95,6.18,1355600.75
2022-09-09,6.18,6.72,6.17,6.51,3068327.74
2022-09-10,6.51,6.73,6.43,6.68,1761517.67
2022-09-11,6.68,6.73,6.36,6.49,1993817.61
2022-09-12,6.49,6.97,6.37,6.65,2670140.3
2022-09-13,6.66,6.77,5.99,6.03,2566863.34
2022-09-14,6.04,6.24,5.95,6.18,1385955.51
2022-09-15,6.18,6.24,5.78,5.89,2138227.19
2022-09-16,5.89,5.94,5.66,5.83,1047796.51
2022-09-17,5.83,6.04,5.81,6.02,1013366.23
2022-09-18,6.02,6.05,5.33,5.47,1570359.47
2022-09-19,5.47,5.52,5.2,5.48,2149386.95
2022-09-20,5.48,5.55,5.26,5.3,1249696.73
2022-09-21,5.3,5.76,5.14,5.34,2589816.38
2022-09-22,5.34,5.86,5.32,5.74,2275079.32
2022-09-23,5.74,5.99,5.7,5.91,1970328.28
2022-09-24,5.92,6.06,5.76,5.8,1437096.64
2022-09-25,5.8,5.96,5.61,5.66,1344115.75
2022-09-26,5.66,5.99,5.55,5.92,2534723.74
2022-09-27,5.93,6.71,5.9,6.38,6339426.95
2022-09-28,6.38,6.63,6.0,6.56,3712680.15
2022-09-29,6.56,6.57,6.12,6.38,2598995.52
2022-09-30,6.38,6.77,6.26,6.46,4068677.81
2022-10-01,6.47,6.66,6.38,6.4,1748286.97
2022-10-02,6.4,6.54,6.17,6.26,4337227.16
2022-10-03,6.27,6.81,6.18,6.63,3976429.93
2022-10-04,6.63,6.85,6.57,6.65,4159895.25
2022-10-05,6.65,6.82,6.47,6.81,1875783.47
2022-10-06,6.82,7.0,6.75,6.87,3232477.74
2022-10-07,6.88,7.08,6.68,6.79,2553847.66
2022-10-08,6.79,6.85,6.42,6.51,1382326.01
2022-10-09,6.52,6.65,6.49,6.63,1024713.14
2022-10-10,6.64,6.72,6.2,6.39,1298488.66
2022-10-11,6.4,6.51,5.94,6.0,2152592.06
2022-10-12,6.0,6.17,5.97,6.06,1162059.31
2022-10-13,6.06,6.22,5.38,6.14,4697466.68
2022-10-14,6.15,6.53,6.09,6.28,3412672.47
2022-10-15,6.29,6.34,5.99,6.04,1247305.22
2022-10-16,6.05,6.17,5.97,6.1,1073581.7
2022-10-17,6.11,6.45,6.04,6.39,1627806.78
2022-10-18,6.4,6.66,6.21,6.53,2725331.66
2022-10-19,6.53,6.77,6.38,6.57,3736310.05
2022-10-20,6.57,6.59,6.01,6.09,3308415.98
2022-10-21,6.1,6.17,5.82,6.03,4786494.44
2022-10-22,6.04,6.16,5.98,6.09,1371657.2
2022-10-23,6.09,6.3,5.97,6.29,2051908.12
2022-10-24,6.29,6.37,6.06,6.15,2106358.09
2022-10-25,6.14,6.78,6.07,6.58,2743931.61
2022-10-26,6.58,6.9,6.52,6.69,2695553.59
2022-10-27,6.69,7.22,6.68,6.8,4444778.43
2022-10-28,6.8,6.99,6.51,6.85,5842955.79
2022-10-29,6.86,7.24,6.71,7.1,3869923.53
2022-10-30,7.1,7.37,6.78,6.89,2644418.17
2022-10-31,6.89,7.13,6.7,6.96,2275736.39
2022-11-01,6.95,7.46,6.91,7.12,3496980.2
2022-11-02,7.11,7.38,6.83,7.1,4285397.04
2022-11-03,7.1,7.41,6.89,6.91,3786516.87
2022-11-04,6.92,7.77,6.81,7.55,4736168.89
2022-11-05,7.55,7.79,7.51,7.69,3072316.99
2022-11-06,7.68,7.77,7.04,7.06,2698935.24
2022-11-07,7.05,7.7,6.87,7.01,5156008.98
2022-11-08,7.0,7.1,5.45,6.07,7487956.51
2022-11-09,6.07,6.22,4.71,4.9,6577704.69
2022-11-10,4.89,5.91,4.79,5.77,8234747.54
2022-11-11,5.76,6.25,5.45,6.1,5737113.98
2022-11-12,6.1,6.19,5.28,5.56,5885301.5
2022-11-13,5.56,6.17,5.52,5.8,6047885.22
2022-11-14,5.8,6.12,5.38,6.09,4632784.5
2022-11-15,6.09,6.51,5.97,6.28,3232226.5
