date,open,high,low,close,volume
2022-08-23,1.0002,1.0002,1.0,1.0,130629507.0
2022-08-24,1.0,1.0001,0.9999,0.9999,220225802.0
2022-08-25,1.0,1.0001,0.9999,1.0,146393445.0
2022-08-26,1.0,1.0001,0.9999,1.0,157633145.0
2022-08-27,1.0,1.0002,0.9999,1.0001,140209355.0
2022-08-28,1.0001,1.0001,1.0,1.0001,76509455.0
2022-08-29,1.0001,1.0001,0.9999,1.0,166810716.0
2022-08-30,1.0,1.0001,0.9999,0.9999,160382330.0
2022-08-31,0.9999,1.0001,0.9999,1.0001,129372685.0
2022-09-01,1.0001,1.0001,0.9999,1.0,189867967.0
2022-09-02,1.0,1.0001,0.9999,0.9999,129264591.0
2022-09-03,0.9999,1.0,0.9999,0.9999,37903258.0
2022-09-04,1.0,1.0001,0.9999,0.9999,76007151.0
2022-09-05,0.9999,1.0001,0.9999,1.0001,136287022.0
2022-09-06,1.0001,1.0001,0.9999,1.0,198630933.0
2022-09-07,1.0,1.0001,0.9999,1.0,162674568.0
2022-09-08,0.9999,1.0001,0.9999,0.9999,148837511.0
2022-09-09,0.9999,1.0,0.9997,0.9997,225690330.0
2022-09-10,0.9998,1.0,0.9995,0.9997,214569824.0
2022-09-11,0.9997,0.9999,0.9996,0.9997,138003692.0
2022-09-12,0.9997,1.0,0.9997,0.9998,194902742.0
2022-09-13,0.9999,1.0001,0.9996,1.0,266325557.0
2022-09-14,1.0,1.0002,0.9998,0.9998,166880330.0
2022-09-15,0.9998,1.0003,0.9996,1.0001,486814854.0
2022-09-16,1.0001,1.0003,0.9999,1.0001,562787399.0
2022-09-17,1.0,1.0001,0.9998,0.9999,120465391.0
2022-09-18,0.9999,1.0001,0.9999,1.0,87334374.0
2022-09-19,1.0,1.0001,0.9997,0.9999,194208315.0
2022-09-20,0.9999,1.0,0.9998,0.9999,175024576.0
2022-09-21,0.9999,1.0,0.9999,0.9999,126462893.0
2022-09-22,0.9999,1.0003,0.9999,1.0,185356820.0
2022-09-23,1.0,1.0001,0.9999,1.0,91422453.0
2022-09-24,1.0,1.0001,0.9999,0.9999,118428039.0
2022-09-25,0.9999,1.0,0.9997,1.0,109374617.0
2022-09-26,1.0,1.0,0.9999,0.9999,5607880.0
2023-03-11,1.0,1.0,0.882,0.9592,616299408.0
2023-03-12,0.9593,0.9878,0.9323,0.9848,1058067483.0
2023-03-13,0.9848,0.9964,0.9835,0.9949,1036507986.0
2023-03-14,0.995,0.9969,0.9929,0.9961,937518041.0
2023-03-15,0.9961,0.998,0.9931,0.996,1081776463.0
2023-03-16,0.9961,0.999,0.9958,0.9975,948805169.0
2023-03-17,0.9975,0.9991,0.997,0.9977,1068606681.0
2023-03-18,0.9976,0.9978,0.9966,0.9971,419426325.0
2023-03-19,0.997,0.9975,0.9967,0.9969,277650525.0
2023-03-20,0.9969,0.9978,0.9957,0.9959,1368051446.0
2023-03-21,0.9959,0.9973,0.9958,0.9969,812714291.0
2023-03-22,0.997,0.9979,0.9966,0.9972,702913908.0
2023-03-23,0.9971,0.9983,0.9965,0.9979,784786439.0
2023-03-24,0.9978,0.9991,0.9978,0.9988,388517725.0
2023-03-25,0.9988,0.9992,0.9984,0.999,208967652.0
2023-03-26,0.9989,0.9993,0.9989,0.9991,137957870.0
2023-03-27,0.9991,0.9999,0.9989,0.9995,377732824.0
2023-03-28,0.9996,0.9999,0.9993,0.9997,310134717.0
2023-03-29,0.9996,0.9999,0.9995,0.9998,231069323.0
2023-03-30,0.9997,1.0001,0.9995,1.0,314586656.0
2023-03-31,1.0,1.0001,0.9995,0.9997,309005717.0
2023-04-01,0.9998,0.9998,0.9995,0.9997,103770958.0
2023-04-02,0.9996,0.9997,0.9992,0.9995,128437895.0
2023-04-03,0.9995,0.9999,0.9994,0.9997,358250196.0
2023-04-04,0.9998,0.9998,0.9993,0.9996,266884953.0
2023-04-05,0.9996,0.9999,0.9995,0.9997,189058207.0
2023-04-06,0.9998,0.9998,0.9993,0.9994,201375483.0
2023-04-07,0.9994,0.9996,0.9992,0.9993,148398678.0
2023-04-08,0.9992,0.9999,0.9992,0.9994,128576738.0
2023-04-09,0.9994,0.9995,0.9993,0.9993,69988769.0
2023-04-10,0.9994,0.9995,0.9991,0.9992,295287855.0
2023-04-11,0.9992,0.9994,0.9989,0.9989,457651188.0
2023-04-12,0.9989,0.9993,0.9988,0.9993,360528390.0
2023-04-13,0.9992,0.9993,0.9987,0.999,376306475.0
2023-04-14,0.999,0.9994,0.9987,0.999,400468888.0
2023-04-15,0.999,0.9993,0.999,0.9992,158614740.0
2023-04-16,0.9992,0.9994,0.999,0.9993,152996520.0
2023-04-17,0.9992,0.9995,0.999,0.9994,391023378.0
2023-04-18,0.9994,0.9998,0.9993,0.9996,407945864.0
2023-04-19,0.9997,0.9999,0.9994,0.9995,314656971.0
2023-04-20,0.9995,1.0,0.9993,0.9999,320888919.0
2023-04-21,0.9999,1.0004,0.9998,1.0001,309079288.0
2023-04-22,1.0001,1.0003,0.9998,1.0001,136614471.0
2023-04-23,1.0,1.0001,0.9997,1.0,123241711.0
