date,open,high,low,close,volume
2022-08-23,0.02615,0.02668,0.02527,0.02645,399533877.1
2022-08-24,0.02645,0.02696,0.02565,0.02623,379402224.8
2022-08-25,0.02622,0.02719,0.0262,0.02673,259935123.1
2022-08-26,0.02673,0.02727,0.02411,0.02445,596645743.1
2022-08-27,0.02444,0.02485,0.02399,0.02443,344480455.7
2022-08-28,0.02444,0.02489,0.02357,0.02367,288724016.3
2022-08-29,0.02368,0.02495,0.0234,0.02486,350640337.0
2022-08-30,0.02486,0.02538,0.02373,0.02435,385033096.2
2022-08-31,0.02436,0.02513,0.02407,0.02422,399290088.6
2022-09-01,0.02422,0.02443,0.02333,0.02431,360556689.8
2022-09-02,0.02431,0.0249,0.02376,0.02412,300271095.5
2022-09-03,0.02411,0.02431,0.02373,0.02424,186880155.9
2022-09-04,0.02424,0.02521,0.02406,0.02501,246195893.3
2022-09-05,0.02501,0.02516,0.02398,0.02448,235548294.2
2022-09-06,0.02448,0.0253,0.02272,0.02294,521977651.2
2022-09-07,0.02294,0.024,0.02257,0.0238,362105041.9
2022-09-08,0.02381,0.0244,0.02344,0.02425,312612290.7
2022-09-09,0.02426,0.02595,0.02421,0.02564,468653845.4
2022-09-10,0.02565,0.02605,0.02531,0.02569,304034580.8
2022-09-11,0.02568,0.02606,0.0252,0.02573,299813869.6
2022-09-12,0.02574,0.02657,0.02524,0.0257,474823628.8
2022-09-13,0.0257,0.0258,0.02339,0.02353,723729471.9
2022-09-14,0.02353,0.02424,0.02334,0.024,402103850.3
2022-09-15,0.024,0.02415,0.02291,0.02321,510460146.4
2022-09-16,0.02322,0.02358,0.02292,0.02338,371967271.2
2022-09-17,0.02338,0.02439,0.02335,0.02434,288805935.0
2022-09-18,0.02434,0.02436,0.02232,0.02242,534549941.7
2022-09-19,0.02242,0.02301,0.02183,0.02284,564289929.6
2022-09-20,0.02283,0.02319,0.02229,0.02267,422528529.8
2022-09-21,0.02267,0.02345,0.02154,0.02191,713801575.6
2022-09-22,0.02191,0.02311,0.02183,0.02288,500580244.7
2022-09-23,0.02289,0.02368,0.02223,0.02324,461220196.7
2022-09-24,0.02325,0.02378,0.0228,0.02286,297205115.6
2022-09-25,0.02286,0.0232,0.02208,0.0224,293359732.8
2022-09-26,0.02239,0.02285,0.02189,0.02271,416064458.1
2022-09-27,0.02272,0.024,0.02242,0.02261,554000656.5
2022-09-28,0.02261,0.02309,0.0218,0.02288,438298241.6
2022-09-29,0.02289,0.02351,0.02267,0.02346,354781557.5
2022-09-30,0.02346,0.02389,0.02274,0.02308,348002148.3
2022-10-01,0.02307,0.02342,0.02292,0.02333,187477284.8
2022-10-02,0.02333,0.02351,0.02253,0.02257,267793085.1
2022-10-03,0.02257,0.02364,0.02233,0.02352,277547178.3
2022-10-04,0.02352,0.0243,0.02336,0.02394,343500705.8
2022-10-05,0.02394,0.02397,0.02322,0.02388,237360802.4
2022-10-06,0.02389,0.02418,0.02328,0.02342,235243702.0
2022-10-07,0.02341,0.02357,0.02284,0.02316,244469553.2
2022-10-08,0.02317,0.02338,0.02278,0.02293,160106610.4
2022-10-09,0.02293,0.02328,0.0229,0.0231,148177155.9
2022-10-10,0.0231,0.02361,0.02272,0.02277,287641671.5
2022-10-11,0.02276,0.02289,0.02208,0.02275,307859114.9
2022-10-12,0.02275,0.02307,0.02251,0.02276,142070614.2
2022-10-13,0.02277,0.02345,0.02122,0.02303,536299751.0
2022-10-14,0.02303,0.02356,0.02264,0.02282,225817774.3
2022-10-15,0.02281,0.02303,0.02254,0.02276,122659618.4
2022-10-16,0.02277,0.02316,0.02275,0.02294,110115482.7
2022-10-17,0.02293,0.02344,0.0227,0.02331,202255328.3
2022-10-18,0.02332,0.02362,0.0226,0.02302,246749419.6
2022-10-19,0.02302,0.0231,0.02219,0.02235,185953432.4
2022-10-20,0.02235,0.02263,0.02171,0.02183,216759754.3
2022-10-21,0.02184,0.02256,0.02144,0.02246,175768585.5
2022-10-22,0.02246,0.02268,0.02219,0.0226,89705589.5
2022-10-23,0.02261,0.023,0.02212,0.0228,159740254.6
2022-10-24,0.0228,0.02288,0.0222,0.02247,150952854.5
2022-10-25,0.02247,0.0234,0.02217,0.02286,312719753.4
2022-10-26,0.02286,0.02358,0.02283,0.02336,263859058.3
2022-10-27,0.02335,0.02403,0.02281,0.02291,294505542.8
2022-10-28,0.02291,0.02376,0.02263,0.02349,251011540.7
2022-10-29,0.0235,0.02437,0.02349,0.02405,327950492.6
2022-10-30,0.02404,0.02447,0.02323,0.02356,240932565.7
2022-10-31,0.02356,0.02413,0.02333,0.02394,247445742.3
2022-11-01,0.02394,0.0243,0.02341,0.02352,209174587.0
2022-11-02,0.02352,0.02404,0.02286,0.02315,333969607.7
2022-11-03,0.02315,0.02394,0.0231,0.02366,229126464.8
2022-11-04,0.02366,0.02552,0.02361,0.02541,504338686.4
2022-11-05,0.0254,0.02598,0.02524,0.02597,328818280.8
2022-11-06,0.02597,0.02661,0.0246,0.02467,445507042.2
2022-11-07,0.02467,0.02773,0.0245,0.02677,824295691.7
2022-11-08,0.02678,0.02846,0.021,0.02342,1911480785.2
2022-11-09,0.02341,0.024,0.0189,0.01949,1371447960.4
2022-11-10,0.0195,0.0227,0.01909,0.02216,1151979140.4
2022-11-11,0.02215,0.02252,0.02048,0.02144,574840867.3
2022-11-12,0.02144,0.02146,0.0199,0.02009,315141004.0
2022-11-13,0.0201,0.02049,0.019,0.0192,428197031.8
2022-11-14,0.0192,0.01976,0.01795,0.01917,764837791.1
2022-11-15,0.01917,0.02035,0.01892,0.01973,425530029.9
2022-11-16,0.01973,0.02085,0.01938,0.01988,435904392.5
2022-11-17,0.01988,0.02018,0.01893,0.01931,375486936.8
2022-11-18,0.01931,0.01966,0.01894,0.01921,189012481.0
2022-11-19,0.01921,0.01951,0.0187,0.01918,161996690.2
2022-11-20,0.01918,0.01931,0.01783,0.018,237791811.0
2022-11-21,0.018,0.01842,0.01744,0.01775,417508635.8
2022-11-22,0.01774,0.01822,0.01727,0.01817,236211008.5
2022-11-23,0.01817,0.01904,0.01804,0.01902,284309975.1
2022-11-24,0.01903,0.01931,0.01865,0.0191,229720444.0
2022-11-25,0.0191,0.01924,0.01853,0.019,234456114.9
2022-11-26,0.019,0.01937,0.01876,0.0189,181476961.2
2022-11-27,0.0189,0.01937,0.01867,0.01878,154450588.4
2022-11-28,0.01878,0.01894,0.01797,0.01823,286927478.0
2022-11-29,0.01822,0.01873,0.01809,0.01853,158704588.6
2022-11-30,0.01853,0.01934,0.01853,0.01923,264632583.7
2022-12-01,0.01923,0.01934,0.019,0.01906,160898271.2
2022-12-02,0.01906,0.01945,0.01881,0.01942,170324635.8
2022-12-03,0.01942,0.0196,0.01898,0.01902,209701726.0
2022-12-04,0.01902,0.01937,0.01902,0.01931,119174697.1
2022-12-05,0.01932,0.0196,0.01911,0.01916,151301044.9
2022-12-06,0.01916,0.01939,0.01902,0.01922,107075542.7
2022-12-07,0.01922,0.01932,0.01839,0.01867,152149731.9
2022-12-08,0.01868,0.01914,0.01854,0.0191,120381278.8
2022-12-09,0.0191,0.01933,0.01887,0.01899,129227694.5
2022-12-10,0.01899,0.01964,0.01899,0.0192,158514050.3
2022-12-11,0.01919,0.01952,0.019,0.01902,111276743.5
2022-12-12,0.01902,0.01902,0.0185,0.01892,137579426.9
2022-12-13,0.01892,0.01936,0.01816,0.01909,254585751.7
2022-12-14,0.01909,0.01916,0.01852,0.01874,184287310.3
2022-12-15,0.01873,0.01877,0.01808,0.01815,177835053.6
2022-12-16,0.01816,0.01864,0.01666,0.01688,364482410.0
2022-12-17,0.01689,0.01704,0.01628,0.01688,245423069.4
2022-12-18,0.01689,0.01692,0.0165,0.01664,150280705.8
2022-12-19,0.01664,0.0168,0.01562,0.01579,261367872.9
2022-12-20,0.0158,0.01655,0.01575,0.01628,150592329.8
2022-12-21,0.01628,0.01648,0.01596,0.01639,144485776.5
2022-12-22,0.01638,0.01641,0.01584,0.01638,194241131.7
2022-12-23,0.01639,0.01654,0.01621,0.01627,95860226.0
2022-12-24,0.01627,0.01637,0.01614,0.01626,62169330.4
2022-12-25,0.01626,0.01628,0.01593,0.01616,88537705.9
2022-12-26,0.01615,0.01618,0.0159,0.01618,112339284.4
2022-12-27,0.01618,0.01624,0.0157,0.01599,136379415.9
2022-12-28,0.016,0.01604,0.01542,0.01563,215569035.0
2022-12-29,0.01563,0.01584,0.0154,0.01572,154645829.1
2022-12-30,0.01571,0.0158,0.01533,0.01568,121207004.4
2022-12-31,0.01568,0.01584,0.01553,0.0158,97836335.3
2023-01-01,0.0158,0.01606,0.01569,0.01605,103740108.6
2023-01-02,0.01605,0.01635,0.01578,0.01616,148657767.6
2023-01-03,0.01615,0.01626,0.01582,0.01609,165271151.5
2023-01-04,0.0161,0.01663,0.016,0.0166,199563825.2
