date,open,high,low,close,volume
2022-08-23,0.2066,0.2095,0.1974,0.2086,1723990.0
2022-08-24,0.2087,0.2126,0.2039,0.2052,1723535.0
2022-08-25,0.2054,0.2113,0.2053,0.2088,830063.0
2022-08-26,0.2088,0.2312,0.1878,0.1896,10783517.0
2022-08-27,0.1895,0.2089,0.1851,0.1881,4560383.0
2022-08-28,0.1879,0.1967,0.1861,0.1862,1991352.0
2022-08-29,0.1864,0.1932,0.1849,0.1926,990740.0
2022-08-30,0.1926,0.2115,0.1891,0.1971,15844804.0
2022-08-31,0.1975,0.2075,0.1958,0.1995,4931123.0
2022-09-01,0.1994,0.2002,0.1904,0.1963,1939918.0
2022-09-02,0.1961,0.2055,0.1936,0.199,1725401.0
2022-09-03,0.1991,0.2009,0.1955,0.1968,771362.0
2022-09-04,0.1968,0.2007,0.1963,0.2002,443434.0
2022-09-05,0.2002,0.2014,0.1939,0.1961,962430.0
2022-09-06,0.1962,0.1996,0.185,0.1875,1316787.0
2022-09-07,0.1872,0.19,0.1826,0.1888,1190719.0
2022-09-08,0.1889,0.2018,0.1865,0.1972,2904106.0
2022-09-09,0.1971,0.2034,0.1959,0.1985,2926864.0
2022-09-10,0.1986,0.2046,0.1975,0.2021,1313071.0
2022-09-11,0.2021,0.204,0.1953,0.1979,2334157.0
2022-09-12,0.1977,0.2031,0.194,0.1986,1591122.0
2022-09-13,0.1987,0.203,0.1864,0.1884,2191680.0
2022-09-14,0.1885,0.2032,0.1867,0.1981,4009232.0
2022-09-15,0.1979,0.203,0.1895,0.1905,2240465.0
2022-09-16,0.1907,0.196,0.1884,0.1931,1282035.0
2022-09-17,0.1931,0.2149,0.1927,0.2,7646674.0
2022-09-18,0.2002,0.2003,0.1876,0.1881,1664519.0
2022-09-19,0.1882,0.19,0.1799,0.1882,1573259.0
2022-09-20,0.1883,0.1905,0.1829,0.1851,1641067.0
2022-09-21,0.1851,0.1943,0.1798,0.1824,2052197.0
2022-09-22,0.1818,0.1946,0.1815,0.1922,1465612.0
2022-09-23,0.1924,0.1973,0.184,0.1907,1227274.0
2022-09-24,0.1909,0.2165,0.1875,0.1893,11733474.0
2022-09-25,0.1893,0.1919,0.1837,0.1856,2048491.0
2022-09-26,0.1856,0.1885,0.1801,0.1848,1848839.0
2022-09-27,0.1848,0.1935,0.1806,0.1832,2528657.0
2022-09-28,0.1831,0.1857,0.1775,0.1844,1799440.0
2022-09-29,0.1844,0.196,0.1835,0.1922,7327863.0
2022-09-30,0.1923,0.1961,0.1869,0.1915,4251157.0
2022-10-01,0.1915,0.196,0.1865,0.1872,2635194.0
2022-10-02,0.1874,0.1893,0.1821,0.1832,969413.0
