date,open,high,low,close,volume
2022-08-23,0.0993,0.1027,0.0963,0.102,13934846.0
2022-08-24,0.1021,0.1084,0.0998,0.1026,21648567.0
2022-08-25,0.1027,0.1076,0.1026,0.1062,10791620.0
2022-08-26,0.1062,0.1066,0.0959,0.0967,15127422.0
2022-08-27,0.0967,0.0973,0.0938,0.0957,9359988.0
2022-08-28,0.0957,0.1048,0.0943,0.0954,24777690.0
2022-08-29,0.0955,0.0995,0.0939,0.0991,12878997.0
2022-08-30,0.0991,0.1008,0.0957,0.0978,11628755.0
2022-08-31,0.0978,0.1014,0.0975,0.0978,11336096.0
2022-09-01,0.0979,0.0984,0.0948,0.0973,9124942.0
2022-09-02,0.0972,0.0988,0.095,0.0963,8838330.0
2022-09-03,0.0963,0.0965,0.0947,0.0958,3481825.0
2022-09-04,0.0957,0.0971,0.0944,0.0967,3744567.0
2022-09-05,0.0967,0.0973,0.0941,0.0955,6799810.0
2022-09-06,0.0956,0.0973,0.0883,0.089,13756896.0
2022-09-07,0.0889,0.0918,0.0863,0.0912,11194222.0
2022-09-08,0.0912,0.1021,0.0901,0.0962,30757732.0
2022-09-09,0.0962,0.1001,0.0953,0.0993,15481399.0
2022-09-10,0.0993,0.1002,0.0974,0.0998,8113183.0
2022-09-11,0.0998,0.1033,0.0984,0.1019,20749546.0
2022-09-12,0.1018,0.1033,0.0994,0.1026,12389713.0
2022-09-13,0.1026,0.1027,0.0902,0.0907,21047850.0
2022-09-14,0.0906,0.0929,0.0901,0.092,12832087.0
2022-09-15,0.092,0.0969,0.0885,0.0893,18251106.0
2022-09-16,0.0894,0.0916,0.0888,0.0901,10770901.0
2022-09-17,0.0902,0.0926,0.09,0.0926,4984341.0
2022-09-18,0.0924,0.0924,0.086,0.0864,8969659.0
2022-09-19,0.0864,0.0884,0.0829,0.0879,13073644.0
2022-09-20,0.0879,0.0883,0.0846,0.0856,10396333.0
2022-09-21,0.0856,0.091,0.0833,0.0843,23057740.0
2022-09-22,0.0843,0.0886,0.0837,0.088,9555477.0
2022-09-23,0.0879,0.0893,0.0848,0.0879,10027331.0
2022-09-24,0.0878,0.0882,0.0866,0.0875,5013986.0
2022-09-25,0.0875,0.088,0.085,0.0855,4309512.0
2022-09-26,0.0855,0.086,0.0833,0.0858,6573472.0
2022-09-27,0.0858,0.0879,0.0837,0.0846,8499417.0
2022-09-28,0.0847,0.0858,0.0821,0.0854,7472469.0
2022-09-29,0.0854,0.0858,0.0832,0.0857,6486003.0
2022-09-30,0.0857,0.0872,0.0847,0.0861,9335005.0
2022-10-01,0.0862,0.0865,0.0846,0.0854,5657411.0
2022-10-02,0.0855,0.0855,0.0831,0.0836,3348832.0
2022-10-03,0.0836,0.0852,0.083,0.0849,4342797.0
2022-10-04,0.0848,0.0903,0.084,0.0874,10492684.0
2022-10-05,0.0872,0.0874,0.084,0.0859,7464174.0
2022-10-06,0.0859,0.0865,0.0845,0.0849,9110197.0
2022-10-07,0.0849,0.087,0.0838,0.0863,8455661.0
2022-10-08,0.0863,0.0877,0.086,0.0864,7524199.0
2022-10-09,0.0865,0.0873,0.0854,0.0865,5555474.0
2022-10-10,0.0866,0.0869,0.0833,0.0834,6266019.0
2022-10-11,0.0834,0.0834,0.0817,0.0821,5672172.0
2022-10-12,0.0823,0.0833,0.0816,0.0822,5544905.0
2022-10-13,0.0822,0.0831,0.0721,0.0795,19975639.0
2022-10-14,0.0795,0.0817,0.0789,0.0794,10558425.0
2022-10-15,0.0794,0.0825,0.0793,0.0807,10364324.0
2022-10-16,0.0807,0.0819,0.0798,0.0809,5776334.0
2022-10-17,0.0808,0.0833,0.0794,0.0829,7901902.0
2022-10-18,0.0829,0.0831,0.0797,0.0803,10141024.0
2022-10-19,0.0802,0.0807,0.0774,0.0778,8572987.0
2022-10-20,0.0777,0.0797,0.0772,0.0775,4996325.0
2022-10-21,0.0776,0.0785,0.0743,0.0778,9499420.0
2022-10-22,0.0778,0.0792,0.0769,0.0784,7353212.0
2022-10-23,0.0786,0.0799,0.0774,0.0794,6508926.0
2022-10-24,0.0794,0.0796,0.077,0.0781,5048233.0
2022-10-25,0.078,0.082,0.0778,0.0811,10563801.0
2022-10-26,0.0811,0.0838,0.0805,0.0835,7771848.0
2022-10-27,0.0835,0.0847,0.082,0.0823,8403338.0
2022-10-28,0.0822,0.0837,0.0805,0.0833,7021647.0
2022-10-29,0.0835,0.0853,0.0828,0.0842,9720180.0
2022-10-30,0.0842,0.0867,0.083,0.0841,8322839.0
2022-10-31,0.0841,0.0844,0.0819,0.0835,10368418.0
2022-11-01,0.0834,0.084,0.0822,0.0826,6459056.0
2022-11-02,0.0825,0.0828,0.0785,0.0801,14538905.0
2022-11-03,0.0802,0.0825,0.0799,0.0814,9288566.0
2022-11-04,0.0813,0.0868,0.0812,0.0866,25371820.0
2022-11-05,0.0864,0.0886,0.086,0.0864,14868932.0
2022-11-06,0.0866,0.0897,0.0843,0.0847,17869452.0
2022-11-07,0.0847,0.0869,0.083,0.0844,12924265.0
2022-11-08,0.0844,0.0848,0.0681,0.0726,29751262.0
2022-11-09,0.0726,0.0738,0.0509,0.0521,43609193.0
2022-11-10,0.052,0.0619,0.0514,0.0611,32260623.0
2022-11-11,0.061,0.0645,0.0564,0.0594,42407817.0
2022-11-12,0.0595,0.0595,0.0555,0.0558,13266891.0
2022-11-13,0.056,0.0601,0.0512,0.0521,27080830.0
2022-11-14,0.052,0.054,0.0471,0.0521,26067868.0
2022-11-15,0.0522,0.0584,0.0508,0.0552,31366349.0
2022-11-16,0.0552,0.0582,0.0523,0.0541,25514226.0
2022-11-17,0.0542,0.0548,0.0517,0.0532,7554459.0
