date,open,high,low,close,volume
2022-08-23,0.0001293,0.00013,0.0001257,0.0001292,17540840419.0
2022-08-24,0.0001292,0.0001296,0.0001263,0.0001268,12602957380.0
2022-08-25,0.0001268,0.0001299,0.0001266,0.0001292,11344389629.0
2022-08-26,0.0001292,0.0001292,0.0001188,0.0001193,21572693648.0
2022-08-27,0.0001194,0.0001234,0.0001187,0.0001228,13501609025.0
2022-08-28,0.0001227,0.0001231,0.0001181,0.0001183,9044747757.0
2022-08-29,0.0001183,0.0001213,0.0001163,0.0001205,12186817545.0
2022-08-30,0.0001205,0.0001236,0.0001167,0.0001197,23442222307.0
2022-08-31,0.0001198,0.0001218,0.0001126,0.0001131,21246130925.0
2022-09-01,0.0001132,0.0001143,0.0001071,0.0001092,30555518833.0
2022-09-02,0.0001091,0.00011,0.000105,0.0001056,26181916273.0
2022-09-03,0.0001057,0.0001078,0.0001048,0.0001065,24127525929.0
2022-09-04,0.0001065,0.0001144,0.0001061,0.0001108,37198682115.0
2022-09-05,0.0001108,0.0001112,0.0001071,0.0001081,20754921528.0
2022-09-06,0.0001081,0.0001102,0.0001013,0.0001018,31675982571.0
2022-09-07,0.0001017,0.0001061,0.0001005,0.0001048,27053627971.0
2022-09-08,0.0001049,0.0001058,0.0001032,0.0001055,33218340230.0
2022-09-09,0.0001056,0.0001108,0.0001052,0.0001102,40762529276.0
2022-09-10,0.0001102,0.0001111,0.0001081,0.0001103,38403413567.0
2022-09-11,0.0001103,0.0001114,0.0001086,0.0001097,18511799622.0
2022-09-12,0.0001097,0.0001121,0.0001082,0.0001091,40903690131.0
2022-09-13,0.000109,0.00011,0.0001025,0.0001035,50982356978.0
2022-09-14,0.0001035,0.0001057,0.0001029,0.000104,28346073946.0
2022-09-15,0.0001039,0.0001054,0.0001001,0.0001006,27242653997.0
2022-09-16,0.0001006,0.0001018,9.93e-05,0.0001004,22937620972.0
2022-09-17,0.0001004,0.0001049,0.0001003,0.0001047,16450998833.0
2022-09-18,0.0001047,0.0001047,9.75e-05,9.82e-05,17839285990.0
2022-09-19,9.82e-05,9.95e-05,9.51e-05,9.9e-05,24247192448.0
2022-09-20,9.91e-05,9.95e-05,9.77e-05,9.86e-05,14966541053.0
2022-09-21,9.87e-05,0.0001202,9.73e-05,9.9e-05,104382854288.0
2022-09-22,9.9e-05,0.0001013,9.8e-05,9.98e-05,17682707337.0
2022-09-23,9.97e-05,0.0001023,9.65e-05,9.97e-05,18772250255.0
2022-09-24,9.96e-05,0.0001013,9.83e-05,9.84e-05,13044893656.0
2022-09-25,9.84e-05,9.91e-05,9.65e-05,9.71e-05,9094367214.0
2022-09-26,9.7e-05,0.0001019,9.58e-05,9.82e-05,21893554775.0
2022-09-27,9.82e-05,0.0001005,9.69e-05,9.84e-05,20239489441.0
2022-09-28,9.83e-05,9.9e-05,9.54e-05,9.77e-05,14985992129.0
2022-09-29,9.77e-05,9.91e-05,9.62e-05,9.81e-05,12905241758.0
2022-09-30,9.81e-05,0.000105,9.7e-05,9.87e-05,20542829306.0
2022-10-01,9.88e-05,0.0001018,9.87e-05,9.98e-05,14413448095.0
2022-10-02,9.98e-05,0.0001112,9.91e-05,9.92e-05,67849278671.0
2022-10-03,9.93e-05,0.0001055,9.83e-05,0.0001021,20273433821.0
2022-10-04,0.0001021,0.0001029,0.0001005,0.0001025,13619663663.0
2022-10-05,0.0001025,0.000112,0.0001021,0.0001077,57203969612.0
2022-10-06,0.0001077,0.0001234,0.0001068,0.0001101,134526640905.0
2022-10-07,0.00011,0.0001108,0.0001059,0.0001095,28420801344.0
2022-10-08,0.0001095,0.0001164,0.0001084,0.0001097,44329413015.0
2022-10-09,0.0001097,0.0001133,0.0001092,0.000112,32490412589.0
2022-10-10,0.000112,0.0001175,0.0001102,0.000111,52716913875.0
2022-10-11,0.0001111,0.0001111,0.0001068,0.0001073,19591175020.0
2022-10-12,0.0001073,0.0001114,0.000105,0.0001052,20331257166.0
2022-10-13,0.0001051,0.0001066,9.9e-05,0.0001019,23409031655.0
2022-10-14,0.0001019,0.000118,0.0001019,0.0001084,71142413922.0
2022-10-15,0.0001084,0.0001119,0.0001029,0.0001036,29230410401.0
2022-10-16,0.0001035,0.0001048,0.0001023,0.0001043,20620493426.0
2022-10-17,0.0001043,0.0001077,0.0001028,0.0001047,19660522228.0
2022-10-18,0.0001048,0.0001063,0.000102,0.0001033,19642075221.0
2022-10-19,0.0001033,0.0001055,0.0001006,0.0001008,31688163327.0
2022-10-20,0.0001008,0.0001037,0.0001,0.0001023,14894864021.0
2022-10-21,0.0001022,0.0001032,0.0001002,0.000102,17934416237.0
2022-10-22,0.0001021,0.0001033,0.0001016,0.0001023,10094701641.0
2022-10-23,0.0001024,0.0001034,0.0001011,0.0001024,9857475770.0
2022-10-24,0.0001023,0.0001026,0.0001004,0.0001009,9014686844.0
2022-10-25,0.0001008,0.0001044,0.0001006,0.0001028,17407408790.0
2022-10-26,0.0001029,0.000105,0.0001025,0.0001034,15356601900.0
2022-10-27,0.0001034,0.0001054,0.0001022,0.0001024,13097867391.0
2022-10-28,0.0001024,0.0001064,0.000102,0.0001044,11100015424.0
2022-10-29,0.0001044,0.0001128,0.0001038,0.0001087,43378864835.0
2022-10-30,0.0001087,0.0001089,0.0001035,0.0001047,20227487821.0
2022-10-31,0.0001047,0.000112,0.0001031,0.0001055,22243675042.0
2022-11-01,0.0001055,0.0001066,0.0001045,0.0001053,13191626448.0
2022-11-02,0.0001052,0.0001053,0.0001022,0.0001029,17068324314.0
2022-11-03,0.0001029,0.000108,0.0001028,0.0001053,21308864140.0
2022-11-04,0.0001052,0.0001098,0.0001048,0.0001095,21930333670.0
2022-11-05,0.0001095,0.000112,0.0001079,0.0001081,17205409483.0
2022-11-06,0.0001081,0.0001115,0.0001074,0.0001077,17482483769.0
2022-11-07,0.0001076,0.0001086,0.0001051,0.0001062,21243232658.0
2022-11-08,0.0001062,0.0001073,9.25e-05,9.52e-05,52298428923.0
2022-11-09,9.51e-05,0.0001039,9.08e-05,9.17e-05,89340371352.0
2022-11-10,9.16e-05,9.92e-05,9.03e-05,9.77e-05,45461845366.0
2022-11-11,9.77e-05,9.88e-05,9.35e-05,9.55e-05,25466043243.0
2022-11-12,9.54e-05,9.87e-05,9.28e-05,9.5e-05,18579901582.0
2022-11-13,9.5e-05,9.67e-05,9.18e-05,9.37e-05,18577549084.0
2022-11-14,9.36e-05,9.73e-05,8.9e-05,9.25e-05,30920313689.0
2022-11-15,9.25e-05,9.48e-05,9.17e-05,9.35e-05,10986204122.0
2022-11-16,9.36e-05,9.41e-05,9.01e-05,9.19e-05,7531444024.0
2022-11-17,9.19e-05,9.27e-05,8.92e-05,9.12e-05,5318119444.0
2022-11-18,9.13e-05,9.67e-05,8.99e-05,9.14e-05,11416005148.0
2022-11-19,9.13e-05,9.26e-05,9.01e-05,9.12e-05,6434705179.0
2022-11-20,9.11e-05,9.25e-05,8.9e-05,8.92e-05,7920698790.0
2022-11-21,8.93e-05,8.93e-05,8.52e-05,8.69e-05,11228981243.0
2022-11-22,8.69e-05,8.9e-05,8.56e-05,8.77e-05,11704576874.0
2022-11-23,8.77e-05,9.25e-05,8.68e-05,9.09e-05,15397983727.0
2022-11-24,9.09e-05,9.23e-05,8.97e-05,9.06e-05,9628387654.0
2022-11-25,9.06e-05,9.07e-05,8.81e-05,8.95e-05,6577841504.0
2022-11-26,8.95e-05,9.14e-05,8.86e-05,8.93e-05,7599772671.0
2022-11-27,8.92e-05,9.06e-05,8.89e-05,8.91e-05,7568745432.0
2022-11-28,8.92e-05,8.99e-05,8.66e-05,8.87e-05,10096815883.0
2022-11-29,8.86e-05,9.08e-05,8.82e-05,8.99e-05,8217499622.0
2022-11-30,8.99e-05,9.22e-05,8.99e-05,9.15e-05,8031438227.0
2022-12-01,9.15e-05,9.19e-05,8.98e-05,9.01e-05,5848091421.0
2022-12-02,9e-05,9.15e-05,8.9e-05,9.09e-05,7085858452.0
2022-12-03,9.08e-05,9.13e-05,9e-05,9e-05,5326441169.0
2022-12-04,9.01e-05,9.11e-05,8.97e-05,9.08e-05,5082570316.0
2022-12-05,9.09e-05,9.24e-05,8.94e-05,9.01e-05,9793212715.0
2022-12-06,9.02e-05,9.04e-05,8.91e-05,8.96e-05,5001587297.0
2022-12-07,8.97e-05,8.99e-05,8.75e-05,8.79e-05,5025104172.0
2022-12-08,8.78e-05,8.9e-05,8.72e-05,8.87e-05,4731290688.0
2022-12-09,8.88e-05,8.95e-05,8.74e-05,8.75e-05,5841880020.0
2022-12-10,8.74e-05,8.98e-05,8.71e-05,8.85e-05,9177436365.0
2022-12-11,8.85e-05,8.95e-05,8.74e-05,8.76e-05,4545193287.0
2022-12-12,8.75e-05,8.85e-05,8.62e-05,8.77e-05,7853916389.0
2022-12-13,8.78e-05,8.92e-05,8.66e-05,8.85e-05,8851500896.0
2022-12-14,8.85e-05,9e-05,8.73e-05,8.78e-05,7582684750.0
2022-12-15,8.78e-05,8.83e-05,8.66e-05,8.73e-05,6142617973.0
2022-12-16,8.73e-05,8.74e-05,8.03e-05,8.04e-05,8852190494.0
2022-12-17,8.03e-05,8.2e-05,7.92e-05,8.1e-05,6694901861.0
2022-12-18,8.1e-05,8.18e-05,8.02e-05,8.07e-05,4175360636.0
2022-12-19,8.06e-05,8.12e-05,7.64e-05,7.64e-05,5364988197.0
2022-12-20,7.64e-05,7.81e-05,7.63e-05,7.73e-05,5304650455.0
2022-12-21,7.74e-05,7.85e-05,7.56e-05,7.63e-05,5891449306.0
2022-12-22,7.62e-05,7.64e-05,7.37e-05,7.49e-05,4610322605.0
2022-12-23,7.5e-05,7.57e-05,7.39e-05,7.42e-05,4778444692.0
2022-12-24,7.42e-05,7.52e-05,7.32e-05,7.51e-05,4718990718.0
2022-12-25,7.51e-05,7.53e-05,7.32e-05,7.35e-05,3839762544.0
2022-12-26,7.34e-05,7.8e-05,7.33e-05,7.55e-05,10798538704.0
2022-12-27,7.55e-05,7.6e-05,7.36e-05,7.42e-05,4139608410.0
2022-12-28,7.42e-05,9.68e-05,7.25e-05,8.08e-05,108094161902.0
2022-12-29,8.07e-05,8.22e-05,7.4e-05,7.5e-05,27191080899.0
2022-12-30,7.5e-05,7.75e-05,7.37e-05,7.51e-05,11428385178.0
2022-12-31,7.52e-05,7.57e-05,7.43e-05,7.48e-05,3610191914.0
2023-01-01,7.49e-05,7.5e-05,7.41e-05,7.45e-05,3630890584.0
2023-01-02,7.44e-05,7.54e-05,7.38e-05,7.47e-05,4484756993.0
2023-01-03,7.47e-05,7.56e-05,7.45e-05,7.47e-05,3396652961.0
2023-01-04,7.47e-05,7.67e-05,7.46e-05,7.55e-05,6163966303.0
2023-01-05,7.55e-05,7.61e-05,7.2e-05,7.36e-05,7814883550.0
2023-01-06,7.36e-05,7.43e-05,7.19e-05,7.38e-05,8981650453.0
2023-01-07,7.38e-05,7.46e-05,7.34e-05,7.41e-05,5132634030.0
2023-01-08,7.4e-05,7.48e-05,7.3e-05,7.48e-05,5006668763.0
2023-01-09,7.48e-05,7.74e-05,7.44e-05,7.58e-05,9542159352.0
