date,open,high,low,close,volume
2023-07-24,0.15,5.29,0.15,2.161,89457456.3
2023-07-25,2.16,2.458,1.85,2.257,56332386.6
2023-07-26,2.257,2.55,2.149,2.25,42447395.0
2023-07-27,2.25,2.32,2.066,2.096,21246133.9
2023-07-28,2.096,2.237,2.05,2.219,16890436.7
2023-07-29,2.219,2.379,2.174,2.347,17461018.0
2023-07-30,2.346,2.493,2.222,2.288,17988633.7
2023-07-31,2.288,2.376,2.244,2.316,13857089.8
2023-08-01,2.316,2.451,2.196,2.43,16120912.4
2023-08-02,2.43,2.525,2.298,2.36,24744318.0
2023-08-03,2.36,2.376,2.253,2.325,10498756.4
2023-08-04,2.324,2.341,2.147,2.174,11420935.4
2023-08-05,2.174,2.183,2.084,2.13,7239460.0
2023-08-06,2.13,2.17,2.011,2.039,9673157.7
2023-08-07,2.042,2.11,2.018,2.039,9486314.8
2023-08-08,2.041,2.051,1.906,1.942,15798749.4
2023-08-09,1.941,1.964,1.808,1.834,9181266.9
2023-08-10,1.835,1.854,1.664,1.68,15073852.4
2023-08-11,1.681,1.773,1.65,1.746,13861953.3
2023-08-12,1.745,1.822,1.726,1.758,9209066.5
2023-08-13,1.758,1.837,1.758,1.768,9101163.6
2023-08-14,1.768,1.817,1.745,1.768,7672590.3
2023-08-15,1.768,1.794,1.581,1.62,10668595.6
2023-08-16,1.62,1.635,1.481,1.522,18235437.6
2023-08-17,1.523,1.544,1.2,1.367,17263106.7
2023-08-18,1.365,1.589,1.322,1.543,20986477.8
2023-08-19,1.542,1.545,1.446,1.48,9330031.6
2023-08-20,1.48,1.541,1.461,1.469,7986000.0
2023-08-21,1.468,1.531,1.414,1.476,8585154.9
2023-08-22,1.476,1.5,1.364,1.434,8138647.0
2023-08-23,1.435,1.448,1.334,1.407,8230995.8
2023-08-24,1.407,1.473,1.374,1.399,7469794.0
2023-08-25,1.4,1.4,1.243,1.269,9357580.9
2023-08-26,1.269,1.327,1.222,1.293,6477640.6
2023-08-27,1.294,1.313,1.266,1.312,4526936.9
2023-08-28,1.312,1.325,1.192,1.208,9918306.7
2023-08-29,1.208,1.385,1.11,1.297,32935118.9
2023-08-30,1.297,1.334,1.203,1.223,20347990.0
2023-08-31,1.223,1.281,1.12,1.135,14876811.0
2023-09-01,1.135,1.153,1.094,1.125,14511245.1
2023-09-02,1.125,1.216,1.105,1.136,20687021.8
2023-09-03,1.135,1.155,1.101,1.13,5887367.8
2023-09-04,1.13,1.17,1.022,1.048,14946164.9
2023-09-05,1.048,1.107,1.02,1.071,10784711.4
2023-09-06,1.072,1.336,1.052,1.29,46932460.3
2023-09-07,1.29,1.393,1.191,1.23,48015427.2
2023-09-08,1.23,1.253,1.113,1.135,15372742.1
2023-09-09,1.136,1.183,1.12,1.168,11138776.1
2023-09-10,1.167,1.182,1.056,1.093,14011976.1
2023-09-11,1.093,1.111,0.996,1.009,20794947.7
2023-09-12,1.01,1.063,0.971,1.01,18042964.5
2023-09-13,1.011,1.043,0.972,1.012,17564118.8
2023-09-14,1.013,1.119,0.997,1.067,17229787.4
2023-09-15,1.069,1.376,1.048,1.326,47412876.7
2023-09-16,1.326,1.724,1.31,1.505,106171716.9
2023-09-17,1.506,1.507,1.231,1.264,41079460.6
2023-09-18,1.264,1.497,1.232,1.353,43731635.5
2023-09-19,1.353,1.425,1.314,1.377,21320222.2
2023-09-20,1.378,1.58,1.353,1.561,35789939.7
2023-09-21,1.56,1.65,1.376,1.509,33812997.0
2023-09-22,1.509,1.648,1.455,1.604,28695927.9
2023-09-23,1.605,1.692,1.49,1.509,19796739.0
2023-09-24,1.509,1.681,1.493,1.621,16322504.0
2023-09-25,1.62,1.759,1.571,1.722,27924416.6
2023-09-26,1.722,1.789,1.635,1.691,21211798.1
2023-09-27,1.692,1.834,1.671,1.797,18089745.3
2023-09-28,1.797,1.899,1.774,1.79,20976773.0
2023-09-29,1.79,1.851,1.684,1.728,14784404.8
2023-09-30,1.729,1.817,1.657,1.669,14095697.1
2023-10-01,1.67,1.8,1.666,1.78,15827683.7
2023-10-02,1.78,1.806,1.611,1.641,12425463.2
2023-10-03,1.641,1.676,1.523,1.533,10592613.5
2023-10-04,1.533,1.562,1.453,1.542,10596901.7
2023-10-05,1.542,1.59,1.489,1.507,8096030.6
2023-10-06,1.508,1.69,1.504,1.653,11581325.2
2023-10-07,1.653,1.682,1.587,1.602,7910953.0
2023-10-08,1.602,1.635,1.566,1.583,3936957.6
2023-10-09,1.583,1.606,1.485,1.551,5980150.1
2023-10-10,1.55,1.57,1.51,1.552,4080862.7
2023-10-11,1.553,1.658,1.521,1.631,10854774.4
2023-10-12,1.632,1.639,1.444,1.463,11172281.6
2023-10-13,1.463,1.509,1.425,1.486,7111327.0
2023-10-14,1.486,1.516,1.462,1.495,3621340.8
2023-10-15,1.495,1.546,1.474,1.529,6395764.5
2023-10-16,1.528,1.688,1.51,1.609,15031876.1
2023-10-17,1.61,1.677,1.585,1.624,8903165.5
2023-10-18,1.625,1.642,1.452,1.455,9417427.6
2023-10-19,1.455,1.508,1.4,1.453,9967387.9
2023-10-20,1.452,1.571,1.435,1.518,8443161.2
2023-10-21,1.518,1.662,1.493,1.609,9890546.9
2023-10-22,1.609,1.736,1.566,1.633,13318240.6
2023-10-23,1.633,1.675,1.482,1.652,20086578.2
2023-10-24,1.651,1.807,1.591,1.679,23879620.5
2023-10-25,1.679,1.841,1.657,1.805,14184377.9
2023-10-26,1.804,1.927,1.685,1.854,16596868.6
2023-10-27,1.854,1.949,1.752,1.875,15314839.7
2023-10-28,1.875,1.956,1.824,1.837,12192827.3
2023-10-29,1.837,1.87,1.784,1.8,7545493.7
2023-10-30,1.8,1.938,1.8,1.887,9951434.9
2023-10-31,1.886,2.05,1.867,2.032,16713295.5
2023-11-01,2.033,2.043,1.839,1.886,18512057.5
2023-11-02,1.886,1.923,1.705,1.751,11364023.6
2023-11-03,1.751,1.873,1.703,1.855,7875833.3
2023-11-04,1.856,1.905,1.839,1.868,5171540.8
2023-11-05,1.869,1.892,1.792,1.821,4629317.0
2023-11-06,1.82,1.869,1.778,1.821,5601609.9
2023-11-07,1.821,1.864,1.739,1.842,8721712.3
2023-11-08,1.842,1.86,1.781,1.832,4480027.3
2023-11-09,1.833,1.913,1.555,1.758,13326822.6
2023-11-10,1.759,2.0,1.672,1.96,13068263.1
2023-11-11,1.961,2.1,1.89,1.938,24012050.0
2023-11-12,1.937,1.985,1.842,1.948,8405079.3
2023-11-13,1.948,2.6,1.875,2.308,60891070.1
2023-11-14,2.308,2.338,2.111,2.301,34748571.8
2023-11-15,2.301,2.45,2.273,2.358,20701157.2
2023-11-16,2.358,2.529,2.145,2.182,21356527.1
2023-11-17,2.182,2.259,1.868,1.996,29913383.7
2023-11-18,1.995,2.118,1.82,2.058,20636391.4
2023-11-19,2.057,2.589,2.0,2.415,45220514.7
2023-11-20,2.416,2.719,2.161,2.199,50866911.5
2023-11-21,2.199,2.507,2.177,2.235,32616465.4
2023-11-22,2.235,2.612,2.228,2.511,26332289.7
2023-11-23,2.511,2.547,2.315,2.38,17206729.2
2023-11-24,2.379,2.572,2.339,2.477,22945458.6
2023-11-25,2.478,2.878,2.442,2.731,27325842.9
2023-11-26,2.731,2.762,2.561,2.658,17860603.9
2023-11-27,2.656,2.784,2.453,2.508,22868610.4
2023-11-28,2.509,2.576,2.4,2.52,13768384.2
2023-11-29,2.521,2.64,2.322,2.343,16021747.9
2023-11-30,2.343,2.452,2.315,2.435,7979639.8
2023-12-01,2.435,2.525,2.369,2.4,7599554.3
2023-12-02,2.4,2.6,2.397,2.553,9561003.6
2023-12-03,2.553,2.609,2.421,2.463,7966156.0
2023-12-04,2.464,2.577,2.32,2.461,12725905.5
2023-12-05,2.461,2.539,2.368,2.45,11005294.3
2023-12-06,2.451,2.545,2.398,2.431,14805454.5
2023-12-07,2.431,2.523,2.335,2.5,9229697.7
2023-12-08,2.501,2.549,2.417,2.486,8901882.5
2023-12-09,2.486,2.59,2.44,2.487,9699093.3
2023-12-10,2.487,2.75,2.481,2.688,15092251.5
2023-12-11,2.688,2.701,2.354,2.447,16061097.0
2023-12-12,2.446,2.497,2.35,2.414,9969640.7
2023-12-13,2.414,2.58,2.304,2.518,20522234.6
2023-12-14,2.518,2.676,2.44,2.611,13924593.2
2023-12-15,2.61,2.736,2.461,2.466,15968657.0
2023-12-16,2.467,4.6,2.416,3.812,90808472.5
2023-12-17,3.811,4.788,3.719,4.205,68187288.9
2023-12-18,4.203,4.355,3.65,3.941,41705968.2
2023-12-19,3.941,4.328,3.662,3.723,27637120.4
2023-12-20,3.723,3.812,3.411,3.495,20923092.4
2023-12-21,3.495,3.868,3.441,3.527,17558913.5
2023-12-22,3.528,3.78,3.463,3.69,14530714.0
2023-12-23,3.69,3.74,3.33,3.459,11291849.6
2023-12-24,3.459,3.593,3.262,3.362,10904398.7
2023-12-25,3.362,3.78,3.362,3.763,16698386.9
2023-12-26,3.762,4.078,3.33,3.682,20901746.6
2023-12-27,3.681,3.748,3.42,3.615,11999057.7
2023-12-28,3.616,3.742,3.357,3.512,10098142.0
2023-12-29,3.513,3.647,3.37,3.505,8679596.7
2023-12-30,3.505,3.99,3.438,3.666,15723132.1
2023-12-31,3.667,3.888,3.481,3.633,12306544.5
2024-01-01,3.633,3.777,3.482,3.615,6641216.5
2024-01-02,3.616,3.92,3.51,3.575,13346098.6
2024-01-03,3.575,3.857,2.503,3.079,23586910.5
2024-01-04,3.079,3.249,2.987,3.202,12142960.0
2024-01-05,3.203,3.242,2.856,2.982,8934052.7
2024-01-06,2.982,2.984,2.636,2.778,8466957.3
2024-01-07,2.777,2.852,2.59,2.63,6154871.5
2024-01-08,2.631,2.877,2.403,2.815,13419453.1
2024-01-09,2.816,2.836,2.371,2.503,13273440.0
2024-01-10,2.503,2.83,2.398,2.75,12328701.6
2024-01-11,2.751,2.942,2.58,2.775,13007085.5
2024-01-12,2.775,3.188,2.682,2.846,19308224.5
2024-01-13,2.848,2.937,2.7,2.867,7487576.7
2024-01-14,2.867,2.925,2.657,2.663,5461184.6
2024-01-15,2.662,2.839,2.659,2.765,6203558.2
2024-01-16,2.765,2.857,2.687,2.751,5772863.7
2024-01-17,2.751,2.778,2.673,2.717,4385913.0
2024-01-18,2.717,2.772,2.525,2.571,6219935.7
