date,open,high,low,close,volume
2022-08-23,0.1676,0.1728,0.161,0.1701,15776740.9
2022-08-24,0.1702,0.1768,0.1653,0.1696,15431728.1
2022-08-25,0.1696,0.1777,0.1693,0.1724,12507559.8
2022-08-26,0.1723,0.1725,0.1478,0.1498,32223310.3
2022-08-27,0.1497,0.1534,0.146,0.148,19461667.5
2022-08-28,0.148,0.1502,0.1379,0.1387,17507168.7
2022-08-29,0.1387,0.1567,0.1371,0.1549,22371692.9
2022-08-30,0.1548,0.1582,0.1432,0.1501,20974384.6
2022-08-31,0.15,0.1588,0.149,0.1498,16012681.4
2022-09-01,0.1498,0.154,0.1453,0.1536,12048394.8
2022-09-02,0.1537,0.1554,0.147,0.1507,16658507.5
2022-09-03,0.1507,0.1544,0.1487,0.1524,8479578.1
2022-09-04,0.1523,0.1569,0.1501,0.1569,8817415.0
2022-09-05,0.1568,0.1598,0.1509,0.1593,12559421.9
2022-09-06,0.1594,0.1638,0.1437,0.1455,29516459.6
2022-09-07,0.1458,0.1539,0.1437,0.1513,11685875.6
2022-09-08,0.1516,0.155,0.1483,0.1536,15119492.8
2022-09-09,0.1537,0.169,0.1531,0.1627,22275012.0
2022-09-10,0.1628,0.1675,0.1614,0.1629,16056365.9
2022-09-11,0.1629,0.169,0.1604,0.1648,15073031.8
2022-09-12,0.1649,0.1709,0.1586,0.1665,21616495.9
2022-09-13,0.1667,0.1739,0.146,0.1479,45751259.7
2022-09-14,0.1478,0.1512,0.1429,0.1487,16292604.8
2022-09-15,0.1487,0.1498,0.1401,0.1418,18066805.2
2022-09-16,0.1419,0.1466,0.1403,0.1463,15471506.2
2022-09-17,0.1462,0.1514,0.1459,0.1507,8182984.9
2022-09-18,0.1508,0.1508,0.1345,0.1376,13767659.4
2022-09-19,0.1376,0.1421,0.1334,0.1402,19555425.1
2022-09-20,0.1402,0.1411,0.1324,0.1334,15997162.7
2022-09-21,0.1335,0.1415,0.1292,0.1313,19367417.9
2022-09-22,0.1313,0.1401,0.1309,0.1382,16349000.0
2022-09-23,0.1382,0.1419,0.1329,0.1398,15103454.8
2022-09-24,0.1398,0.1413,0.1362,0.1365,10406848.1
2022-09-25,0.1365,0.1406,0.1335,0.1352,9759107.9
2022-09-26,0.1352,0.1439,0.1327,0.141,14942502.7
2022-09-27,0.1411,0.1475,0.1359,0.1372,18912510.9
2022-09-28,0.1372,0.1396,0.1311,0.1358,14960093.1
2022-09-29,0.1359,0.1372,0.1322,0.1368,9235638.2
2022-09-30,0.1368,0.1395,0.1343,0.136,11152535.0
2022-10-01,0.136,0.1372,0.1345,0.1353,4404200.7
2022-10-02,0.1352,0.136,0.1314,0.1322,7078425.2
2022-10-03,0.1322,0.1421,0.1295,0.1414,12491372.8
2022-10-04,0.1416,0.1479,0.1402,0.1445,17929897.2
2022-10-05,0.1446,0.1458,0.137,0.1399,13800471.1
2022-10-06,0.14,0.1451,0.1386,0.1392,11360862.9
2022-10-07,0.1392,0.1432,0.1368,0.1405,9367271.2
2022-10-08,0.1405,0.1442,0.1389,0.1406,8537898.3
2022-10-09,0.1405,0.1483,0.1401,0.1477,11513822.5
2022-10-10,0.1478,0.1584,0.1468,0.1524,42413269.3
2022-10-11,0.1525,0.1539,0.1468,0.1479,28210323.9
2022-10-12,0.1479,0.1568,0.1472,0.1488,23274123.8
2022-10-13,0.1488,0.159,0.131,0.1532,50475024.5
2022-10-14,0.1533,0.1598,0.1492,0.1519,26879485.1
2022-10-15,0.152,0.1622,0.1502,0.1611,24933612.2
2022-10-16,0.1611,0.163,0.1571,0.1615,19402771.5
2022-10-17,0.1615,0.1676,0.1598,0.1616,15663944.3
2022-10-18,0.1615,0.1788,0.1579,0.1734,39247883.2
2022-10-19,0.1735,0.1771,0.167,0.1674,26312481.0
2022-10-20,0.1674,0.1693,0.1581,0.1601,18846403.0
2022-10-21,0.1601,0.1667,0.1524,0.1634,20110901.7
2022-10-22,0.1634,0.167,0.1611,0.1623,10264416.4
2022-10-23,0.1624,0.1659,0.1544,0.1652,15403054.6
2022-10-24,0.1653,0.1671,0.1597,0.1603,13953957.9
2022-10-25,0.1603,0.1733,0.1587,0.1681,20812282.7
2022-10-26,0.1681,0.1776,0.1674,0.1717,23515687.2
2022-10-27,0.1716,0.1866,0.1707,0.1771,51782034.5
2022-10-28,0.1771,0.19,0.1681,0.1807,41711872.0
2022-10-29,0.1808,0.19,0.1779,0.1835,40125497.7
2022-10-30,0.1834,0.1908,0.1761,0.181,30413541.8
2022-10-31,0.1809,0.1837,0.174,0.1746,19377512.8
2022-11-01,0.1746,0.1796,0.1701,0.1721,17068976.6
2022-11-02,0.1723,0.1777,0.1641,0.1709,35206036.0
2022-11-03,0.1709,0.1851,0.1696,0.1809,31492872.9
2022-11-04,0.1809,0.1961,0.1781,0.192,32114789.1
2022-11-05,0.1921,0.1971,0.1711,0.1818,26414555.9
2022-11-06,0.1817,0.1847,0.1719,0.1729,18804908.9
2022-11-07,0.1729,0.1832,0.1684,0.1777,16269241.8
2022-11-08,0.178,0.1816,0.13,0.1445,59108740.3
2022-11-09,0.1445,0.1461,0.1153,0.1183,59416932.6
2022-11-10,0.1181,0.1407,0.117,0.1367,50133495.9
2022-11-11,0.1365,0.1382,0.1223,0.132,33353307.7
2022-11-12,0.132,0.1324,0.1203,0.1224,24637694.2
2022-11-13,0.1225,0.1279,0.1156,0.1202,29270343.7
2022-11-14,0.12,0.1271,0.1109,0.1268,41366692.1
2022-11-15,0.1266,0.1346,0.1262,0.1311,31554657.0
2022-11-16,0.131,0.1337,0.1237,0.1273,17012800.8
2022-11-17,0.1275,0.1304,0.1231,0.1236,17085285.4
2022-11-18,0.1236,0.1282,0.1235,0.1279,13426382.5
2022-11-19,0.1278,0.1279,0.1238,0.1276,9635929.6
2022-11-20,0.1275,0.1291,0.1085,0.1103,37932617.2
2022-11-21,0.1102,0.1127,0.1033,0.1063,38214912.6
2022-11-22,0.1065,0.1109,0.1014,0.1107,26758769.1
2022-11-23,0.1108,0.1183,0.1091,0.1179,31449637.0
2022-11-24,0.118,0.1231,0.1139,0.1191,25061878.0
2022-11-25,0.1189,0.1191,0.113,0.1158,16778799.0
2022-11-26,0.1159,0.1217,0.1157,0.1171,22967350.4
