date,open,high,low,close,volume
2022-08-23,0.905,0.958,0.905,0.939,556134.32
2022-08-24,0.94,0.983,0.913,0.926,695158.6
2022-08-25,0.928,0.965,0.927,0.949,364714.88
2022-08-26,0.948,0.96,0.87,0.873,634568.43
2022-08-27,0.873,0.982,0.86,0.88,1560649.3
2022-08-28,0.88,0.895,0.858,0.858,277141.1
2022-08-29,0.859,0.909,0.857,0.907,397013.62
2022-08-30,0.906,0.941,0.864,0.894,718041.61
2022-08-31,0.894,0.964,0.892,0.896,1538116.54
2022-09-01,0.896,0.91,0.878,0.897,422896.88
2022-09-02,0.897,0.985,0.869,0.873,2153118.33
2022-09-03,0.872,0.884,0.867,0.881,293670.98
2022-09-04,0.881,0.907,0.874,0.898,391406.15
2022-09-05,0.898,0.91,0.879,0.891,450724.96
2022-09-06,0.891,0.916,0.835,0.839,862342.83
2022-09-07,0.839,0.891,0.831,0.873,470789.59
2022-09-08,0.874,0.905,0.868,0.877,527449.04
2022-09-09,0.876,0.939,0.876,0.929,909571.54
2022-09-10,0.929,0.951,0.914,0.929,449574.4
2022-09-11,0.928,0.938,0.917,0.93,250943.27
2022-09-12,0.928,0.949,0.91,0.915,646107.18
2022-09-13,0.918,0.925,0.84,0.845,676425.18
2022-09-14,0.843,0.93,0.84,0.869,1496877.68
2022-09-15,0.87,0.894,0.78,0.787,952446.24
2022-09-16,0.786,0.867,0.782,0.793,1816845.84
2022-09-17,0.793,0.863,0.792,0.86,389634.49
2022-09-18,0.86,0.964,0.775,0.777,1617157.54
2022-09-19,0.778,0.925,0.749,0.803,2347832.53
2022-09-20,0.806,0.808,0.771,0.772,418426.4
2022-09-21,0.771,0.823,0.765,0.78,1039018.16
2022-09-22,0.78,0.814,0.774,0.802,561435.57
2022-09-23,0.803,0.81,0.777,0.794,288892.79
2022-09-24,0.793,0.804,0.785,0.794,208790.83
2022-09-25,0.794,0.801,0.774,0.776,195411.0
2022-09-26,0.777,0.792,0.76,0.774,300508.32
2022-09-27,0.771,0.807,0.748,0.756,692656.53
2022-09-28,0.756,0.771,0.735,0.758,407083.27
2022-09-29,0.759,0.778,0.755,0.776,427647.7
2022-09-30,0.776,0.788,0.767,0.771,318316.06
2022-10-01,0.77,0.772,0.752,0.757,160893.23
2022-10-02,0.756,0.907,0.754,0.825,5449899.16
2022-10-03,0.825,0.831,0.777,0.786,746898.67
2022-10-04,0.787,0.807,0.78,0.804,348621.72
2022-10-05,0.803,0.806,0.782,0.801,230180.88
2022-10-06,0.802,0.849,0.792,0.802,596186.61
2022-10-07,0.802,0.86,0.799,0.812,1781706.61
2022-10-08,0.812,0.828,0.789,0.794,269696.99
2022-10-09,0.793,0.8,0.785,0.79,176161.14
2022-10-10,0.789,0.794,0.771,0.773,269465.05
2022-10-11,0.771,0.776,0.753,0.765,297139.44
2022-10-12,0.764,0.775,0.759,0.761,154872.5
2022-10-13,0.762,0.763,0.717,0.762,412196.55
2022-10-14,0.762,0.774,0.736,0.741,332038.73
2022-10-15,0.741,0.754,0.735,0.742,184346.7
2022-10-16,0.742,0.76,0.735,0.754,240977.1
2022-10-17,0.753,0.753,0.741,0.75,241035.86
2022-10-18,0.749,0.751,0.721,0.731,311901.99
2022-10-19,0.73,0.795,0.722,0.725,908480.57
2022-10-20,0.726,0.731,0.692,0.704,491715.71
2022-10-21,0.704,0.705,0.68,0.697,304598.29
2022-10-22,0.697,0.723,0.688,0.708,258445.76
2022-10-23,0.708,0.729,0.7,0.725,448507.11
2022-10-24,0.724,0.727,0.703,0.713,152791.05
2022-10-25,0.711,0.75,0.705,0.733,444004.33
2022-10-26,0.734,0.743,0.722,0.738,380557.08
2022-10-27,0.739,0.751,0.718,0.726,324133.9
2022-10-28,0.726,0.75,0.718,0.736,277269.22
2022-10-29,0.736,0.765,0.728,0.75,411003.19
2022-10-30,0.75,0.757,0.738,0.742,152344.92
2022-10-31,0.742,0.767,0.731,0.755,376425.74
2022-11-01,0.754,0.762,0.744,0.748,179631.53
2022-11-02,0.748,0.755,0.713,0.722,299770.58
2022-11-03,0.721,0.755,0.721,0.749,413900.69
2022-11-04,0.75,0.789,0.749,0.787,521446.12
2022-11-05,0.787,0.802,0.778,0.785,338678.64
2022-11-06,0.786,0.789,0.764,0.766,213571.31
2022-11-07,0.766,0.779,0.757,0.762,236836.23
2022-11-08,0.762,0.772,0.638,0.671,2131836.99
2022-11-09,0.672,0.681,0.564,0.59,1157763.57
2022-11-10,0.59,0.677,0.586,0.661,561671.32
2022-11-11,0.663,0.67,0.601,0.616,579064.65
2022-11-12,0.616,0.618,0.596,0.606,146747.63
2022-11-13,0.606,0.617,0.578,0.593,341494.75
2022-11-14,0.596,0.614,0.567,0.595,351087.2
2022-11-15,0.595,0.613,0.59,0.599,272816.09
2022-11-16,0.6,0.606,0.586,0.597,172535.95
2022-11-17,0.596,0.603,0.588,0.599,203856.02
2022-11-18,0.599,0.615,0.587,0.592,208767.74
2022-11-19,0.593,0.605,0.583,0.59,188815.87
2022-11-20,0.592,0.618,0.58,0.583,335259.19
2022-11-21,0.581,0.596,0.555,0.566,395927.12
2022-11-22,0.567,0.58,0.537,0.58,416508.77
2022-11-23,0.58,1.732,0.576,1.081,33954788.52
2022-11-24,1.083,1.283,0.797,0.86,16278831.83
2022-11-25,0.861,0.907,0.78,0.802,4801057.99
2022-11-26,0.802,0.85,0.76,0.777,2606819.73
2022-11-27,0.777,0.85,0.77,0.81,3191857.6
2022-11-28,0.81,0.904,0.742,0.75,5029039.25
2022-11-29,0.753,0.793,0.737,0.756,1893681.19
2022-11-30,0.757,0.796,0.732,0.76,2084094.17
2022-12-01,0.761,0.795,0.728,0.759,2015180.91
2022-12-02,0.759,0.792,0.74,0.774,1463908.08
2022-12-03,0.772,0.843,0.742,0.755,2605359.01
2022-12-04,0.753,0.777,0.744,0.759,822033.89
2022-12-05,0.76,0.839,0.751,0.772,1880647.28
2022-12-06,0.772,0.824,0.755,0.775,853763.66
2022-12-07,0.775,0.78,0.744,0.76,745148.5
2022-12-08,0.762,0.81,0.75,0.766,996941.79
2022-12-09,0.766,0.792,0.756,0.76,742378.14
2022-12-10,0.759,0.826,0.754,0.765,1121938.82
2022-12-11,0.765,0.767,0.751,0.753,386674.96
2022-12-12,0.753,0.82,0.742,0.771,2399581.3
2022-12-13,0.769,0.78,0.743,0.776,968103.53
2022-12-14,0.777,0.8,0.76,0.764,852738.06
2022-12-15,0.765,0.768,0.75,0.757,325773.26
2022-12-16,0.757,0.773,0.684,0.686,979207.2
2022-12-17,0.688,0.707,0.677,0.7,405819.35
2022-12-18,0.701,0.714,0.671,0.699,428813.38
2022-12-19,0.699,0.705,0.665,0.677,509614.95
2022-12-20,0.677,0.741,0.674,0.701,636648.21
2022-12-21,0.701,0.703,0.656,0.666,341830.6
2022-12-22,0.667,0.678,0.648,0.666,266523.85
2022-12-23,0.666,0.673,0.66,0.662,131490.34
2022-12-24,0.662,0.662,0.649,0.654,166625.13
2022-12-25,0.654,0.675,0.651,0.657,420506.77
2022-12-26,0.658,0.666,0.651,0.66,255171.31
2022-12-27,0.659,0.667,0.653,0.662,226766.73
2022-12-28,0.663,0.689,0.633,0.646,1065140.01
2022-12-29,0.646,0.651,0.638,0.644,223678.48
2022-12-30,0.645,0.651,0.631,0.644,167316.12
2022-12-31,0.645,0.654,0.634,0.637,217338.88
2023-01-01,0.635,0.642,0.631,0.639,187243.76
2023-01-02,0.639,0.65,0.63,0.641,218996.03
2023-01-03,0.641,0.647,0.634,0.643,243287.98
2023-01-04,0.642,0.67,0.641,0.66,336483.62
2023-01-05,0.66,0.812,0.66,0.718,7084438.33
2023-01-06,0.718,0.726,0.677,0.687,1292173.18
2023-01-07,0.686,0.72,0.679,0.71,960869.46
2023-01-08,0.71,0.746,0.705,0.717,773213.98
2023-01-09,0.717,0.759,0.7,0.711,1134716.83
2023-01-10,0.71,0.745,0.693,0.729,889984.27
2023-01-11,0.73,0.792,0.727,0.755,1927507.93
2023-01-12,0.755,0.768,0.735,0.749,786486.91
2023-01-13,0.749,0.789,0.737,0.781,760434.2
2023-01-14,0.781,0.848,0.78,0.799,1418616.94
2023-01-15,0.799,0.82,0.77,0.797,615019.51
2023-01-16,0.796,0.82,0.779,0.797,924532.32
2023-01-17,0.797,0.8,0.752,0.764,918911.9
2023-01-18,0.763,0.789,0.732,0.735,988323.25
2023-01-19,0.735,0.762,0.735,0.759,292834.02
2023-01-20,0.759,0.798,0.756,0.797,388132.73
2023-01-21,0.795,0.804,0.781,0.783,450625.93
2023-01-22,0.782,0.831,0.78,0.815,952587.98
2023-01-23,0.815,0.842,0.802,0.82,1026862.92
2023-01-24,0.82,0.862,0.767,0.783,1219929.13
2023-01-25,0.783,0.81,0.76,0.796,722250.94
2023-01-26,0.795,0.804,0.781,0.787,565115.47
2023-01-27,0.787,0.82,0.77,0.819,742607.36
2023-01-28,0.818,0.825,0.803,0.818,479069.66
2023-01-29,0.817,0.868,0.813,0.846,1154567.2
2023-01-30,0.844,0.95,0.802,0.817,3868700.01
2023-01-31,0.819,1.036,0.813,0.877,6100263.8
2023-02-01,0.877,0.895,0.812,0.869,2548736.36
2023-02-02,0.871,0.896,0.847,0.85,1326663.77
2023-02-03,0.851,0.874,0.841,0.859,763362.78
2023-02-04,0.86,0.907,0.858,0.884,912250.72
2023-02-05,0.884,0.912,0.85,0.871,882209.11
2023-02-06,0.872,0.874,0.832,0.839,1202659.55
2023-02-07,0.839,0.9,0.839,0.895,1108538.2
2023-02-08,0.895,0.95,0.857,0.878,1266515.23
2023-02-09,0.878,0.881,0.802,0.807,1119274.85
2023-02-10,0.807,0.833,0.8,0.828,948897.05
2023-02-11,0.828,0.857,0.823,0.846,612436.49
2023-02-12,0.845,0.885,0.833,0.846,953556.81
2023-02-13,0.847,0.857,0.815,0.832,587832.59
2023-02-14,0.831,0.852,0.822,0.848,514206.5
2023-02-15,0.848,0.928,0.844,0.906,1143413.89
2023-02-16,0.906,0.994,0.866,0.906,3042865.55
2023-02-17,0.908,0.973,0.897,0.937,1501966.98
2023-02-18,0.937,0.958,0.93,0.946,668184.31
2023-02-19,0.947,0.99,0.934,0.94,1118504.47
2023-02-20,0.94,1.024,0.915,0.998,1829208.23
2023-02-21,0.997,1.159,0.966,0.981,3434574.03
2023-02-22,0.984,0.991,0.907,0.959,1135651.13
2023-02-23,0.96,0.995,0.92,0.94,963190.31
2023-02-24,0.941,0.948,0.899,0.91,682675.03
2023-02-25,0.912,0.913,0.87,0.896,321991.75
2023-02-26,0.895,0.922,0.892,0.914,220456.93
2023-02-27,0.914,0.947,0.897,0.921,754879.82
2023-02-28,0.92,0.926,0.883,0.889,386247.15
2023-03-01,0.89,0.917,0.883,0.904,531218.22
2023-03-02,0.904,0.912,0.888,0.899,347413.73
2023-03-03,0.898,0.898,0.823,0.868,789405.1
2023-03-04,0.868,0.92,0.853,0.866,916705.19
2023-03-05,0.866,0.874,0.85,0.854,524043.15
2023-03-06,0.853,0.853,0.829,0.846,351424.43
