date,open,high,low,close,volume
2022-08-23,1.588,1.607,1.537,1.593,1569830.3
2022-08-24,1.593,1.643,1.554,1.6,2569654.1
2022-08-25,1.6,1.681,1.597,1.669,2566229.7
2022-08-26,1.668,1.672,1.461,1.483,3594419.6
2022-08-27,1.483,1.488,1.429,1.462,2599680.1
2022-08-28,1.463,1.493,1.421,1.427,1674521.4
2022-08-29,1.426,1.536,1.418,1.53,1959298.6
2022-08-30,1.529,1.55,1.448,1.496,1869484.5
2022-08-31,1.497,1.58,1.497,1.51,1928917.1
2022-09-01,1.509,1.54,1.473,1.54,1390077.5
2022-09-02,1.54,1.565,1.465,1.491,2539843.1
2022-09-03,1.491,1.529,1.47,1.524,1050918.4
2022-09-04,1.523,1.559,1.51,1.556,965026.9
2022-09-05,1.556,1.566,1.501,1.547,1627023.5
2022-09-06,1.547,1.592,1.426,1.427,3410399.8
2022-09-07,1.427,1.503,1.4,1.489,1517963.5
2022-09-08,1.488,1.603,1.469,1.587,3355291.3
2022-09-09,1.588,1.665,1.582,1.643,3768771.0
2022-09-10,1.643,1.68,1.625,1.663,1981658.1
2022-09-11,1.663,1.757,1.646,1.683,3476485.3
2022-09-12,1.683,1.724,1.613,1.655,3160928.6
2022-09-13,1.655,1.691,1.52,1.528,5369988.6
2022-09-14,1.528,1.622,1.512,1.605,3036192.3
2022-09-15,1.604,1.615,1.508,1.52,4246626.9
2022-09-16,1.52,1.558,1.499,1.52,3073475.4
2022-09-17,1.52,1.567,1.52,1.55,1394955.1
2022-09-18,1.55,1.572,1.425,1.438,2666555.6
2022-09-19,1.438,1.51,1.409,1.482,3618791.4
2022-09-20,1.483,1.523,1.453,1.463,2834672.4
2022-09-21,1.463,1.525,1.383,1.408,6469037.8
2022-09-22,1.407,1.526,1.407,1.508,3848443.7
2022-09-23,1.509,1.552,1.428,1.516,3359562.2
2022-09-24,1.516,1.555,1.468,1.475,1803371.5
2022-09-25,1.476,1.508,1.438,1.457,1263839.7
2022-09-26,1.458,1.479,1.423,1.474,1671985.5
2022-09-27,1.475,1.542,1.422,1.443,2635872.7
2022-09-28,1.442,1.455,1.389,1.441,2823854.0
2022-09-29,1.441,1.449,1.407,1.439,1874146.5
2022-09-30,1.439,1.464,1.408,1.423,2216756.6
2022-10-01,1.424,1.435,1.398,1.409,662909.3
2022-10-02,1.41,1.42,1.363,1.374,1218234.0
2022-10-03,1.376,1.452,1.357,1.438,2210018.7
2022-10-04,1.438,1.469,1.427,1.457,1473010.3
2022-10-05,1.458,1.458,1.404,1.43,1213830.7
2022-10-06,1.431,1.455,1.417,1.428,2330251.0
2022-10-07,1.427,1.434,1.39,1.41,1246764.0
2022-10-08,1.409,1.426,1.399,1.406,537400.0
2022-10-09,1.406,1.43,1.403,1.428,614260.4
2022-10-10,1.428,1.443,1.363,1.37,1322297.3
2022-10-11,1.37,1.37,1.327,1.343,1524801.4
2022-10-12,1.344,1.363,1.34,1.352,889541.3
2022-10-13,1.352,1.423,1.259,1.384,5739972.1
2022-10-14,1.384,1.436,1.354,1.367,2212400.2
2022-10-15,1.368,1.383,1.343,1.355,752429.8
2022-10-16,1.356,1.372,1.339,1.355,896093.6
2022-10-17,1.355,1.397,1.344,1.389,1260213.1
2022-10-18,1.39,1.409,1.351,1.375,1801203.0
2022-10-19,1.375,1.382,1.315,1.326,2203202.2
2022-10-20,1.326,1.357,1.307,1.32,1571085.9
2022-10-21,1.32,1.354,1.29,1.343,1508362.2
2022-10-22,1.343,1.351,1.328,1.341,514659.7
2022-10-23,1.341,1.381,1.331,1.374,1215436.8
2022-10-24,1.374,1.406,1.336,1.353,5132380.0
2022-10-25,1.353,1.42,1.344,1.387,2251389.9
2022-10-26,1.388,1.458,1.387,1.435,2553732.7
2022-10-27,1.434,1.494,1.403,1.412,2165791.0
2022-10-28,1.412,1.461,1.393,1.441,1710608.9
2022-10-29,1.442,1.482,1.424,1.443,2351854.4
2022-10-30,1.445,1.483,1.398,1.422,1728442.4
2022-10-31,1.422,1.474,1.409,1.426,2494096.2
2022-11-01,1.426,1.438,1.402,1.414,2359960.6
2022-11-02,1.414,1.427,1.35,1.382,2655912.5
2022-11-03,1.382,1.425,1.356,1.369,5855479.2
2022-11-04,1.369,1.449,1.359,1.448,7115630.0
