date,open,high,low,close,volume
2022-08-23,5.66,5.89,5.57,5.74,132211.47
2022-08-24,5.74,5.87,5.61,5.72,124051.13
2022-08-25,5.71,5.86,5.57,5.69,117228.25
2022-08-26,5.68,5.68,5.02,5.13,169311.09
2022-08-27,5.13,5.78,4.51,4.87,546139.49
2022-08-28,4.87,5.7,4.79,4.82,644463.05
2022-08-29,4.82,5.24,4.7,5.12,294822.38
2022-08-30,5.11,5.24,4.8,4.86,154109.24
2022-08-31,4.87,5.07,4.83,4.86,121877.04
2022-09-01,4.86,4.93,4.67,4.91,126116.14
2022-09-02,4.91,5.15,4.8,4.86,161903.28
2022-09-03,4.86,4.91,4.8,4.84,46578.29
2022-09-04,4.83,4.93,4.8,4.91,57533.3
2022-09-05,4.91,5.05,4.81,4.93,76881.52
2022-09-06,4.93,5.07,4.52,4.52,183420.35
2022-09-07,4.53,5.0,4.45,4.81,228443.94
2022-09-08,4.81,4.86,4.67,4.8,132146.84
2022-09-09,4.8,5.18,4.79,5.02,292097.09
2022-09-10,5.01,5.3,4.94,5.11,217412.33
2022-09-11,5.11,5.19,5.01,5.1,103402.15
2022-09-12,5.11,5.15,4.93,4.98,141169.25
2022-09-13,4.98,4.99,4.6,4.66,282766.43
2022-09-14,4.66,4.79,4.6,4.67,108617.88
2022-09-15,4.66,4.66,4.39,4.47,160441.69
2022-09-16,4.47,4.51,4.34,4.36,97792.52
2022-09-17,4.36,4.56,4.35,4.54,76767.25
2022-09-18,4.53,5.52,4.43,4.63,889680.85
2022-09-19,4.62,5.13,4.45,4.59,540292.69
2022-09-20,4.58,4.93,4.41,4.5,297874.13
2022-09-21,4.5,4.64,4.37,4.4,147629.1
2022-09-22,4.4,4.6,4.38,4.58,77189.36
2022-09-23,4.58,4.65,4.5,4.61,98724.62
2022-09-24,4.61,4.81,4.55,4.67,146854.31
2022-09-25,4.67,4.94,4.65,4.7,101366.49
2022-09-26,4.7,4.84,4.64,4.8,76554.05
2022-09-27,4.81,4.96,4.66,4.71,112208.84
2022-09-28,4.7,4.89,4.57,4.86,100557.35
2022-09-29,4.87,4.93,4.76,4.84,116798.44
2022-09-30,4.84,4.92,4.75,4.78,82716.74
2022-10-01,4.79,5.16,4.76,4.94,173040.0
2022-10-02,4.95,5.45,4.82,4.95,517042.31
2022-10-03,4.94,5.39,4.92,5.29,516556.55
2022-10-04,5.29,5.37,5.11,5.35,149108.02
2022-10-05,5.36,5.4,5.18,5.22,114893.98
2022-10-06,5.21,5.39,5.08,5.25,163851.8
2022-10-07,5.25,5.66,5.24,5.3,359655.3
2022-10-08,5.31,5.31,5.04,5.09,73899.15
