date,open,high,low,close,volume
2022-08-23,8937.0,9364.0,8759.0,9216.0,490.13914
2022-08-24,9226.0,9578.0,8996.0,9343.0,510.42876
2022-08-25,9348.0,10258.0,9340.0,9797.0,756.56708
2022-08-26,9792.0,9978.0,8860.0,8986.0,616.75471
2022-08-27,8984.0,9135.0,8578.0,8773.0,452.2888
2022-08-28,8769.0,8989.0,8428.0,8466.0,231.56234
2022-08-29,8484.0,9130.0,8396.0,9079.0,374.19667
2022-08-30,9075.0,9310.0,8594.0,8879.0,545.80428
2022-08-31,8884.0,9290.0,8845.0,9022.0,479.45396
2022-09-01,9021.0,9354.0,8770.0,9215.0,528.14723
2022-09-02,9215.0,10518.0,9072.0,10075.0,1630.92782
2022-09-03,10075.0,10101.0,9374.0,9782.0,712.13436
2022-09-04,9784.0,9861.0,9275.0,9445.0,563.33315
2022-09-05,9447.0,9611.0,9278.0,9500.0,427.13645
2022-09-06,9500.0,9779.0,8535.0,8618.0,788.70903
2022-09-07,8620.0,9605.0,8472.0,9328.0,809.13256
2022-09-08,9334.0,9550.0,9000.0,9264.0,563.73632
2022-09-09,9265.0,11380.0,9241.0,10465.0,2332.81048
2022-09-10,10441.0,10565.0,10121.0,10438.0,655.38212
2022-09-11,10430.0,10648.0,9894.0,10196.0,394.88351
2022-09-12,10202.0,10399.0,9701.0,9754.0,417.01264
2022-09-13,9757.0,10193.0,9000.0,9024.0,668.69062
2022-09-14,9024.0,9364.0,8880.0,9192.0,542.59606
2022-09-15,9195.0,9222.0,8444.0,8521.0,549.82584
2022-09-16,8525.0,8857.0,8377.0,8664.0,479.09098
2022-09-17,8663.0,9399.0,8662.0,9343.0,582.22507
2022-09-18,9347.0,9370.0,7957.0,8345.0,659.1198
2022-09-19,8340.0,8607.0,8072.0,8481.0,582.65928
2022-09-20,8474.0,8639.0,8303.0,8454.0,357.43993
2022-09-21,8450.0,8862.0,7799.0,7983.0,602.98373
2022-09-22,7984.0,8540.0,7967.0,8444.0,506.63503
2022-09-23,8446.0,8653.0,8039.0,8420.0,423.5763
2022-09-24,8421.0,8497.0,8172.0,8221.0,201.94626
2022-09-25,8223.0,8377.0,8019.0,8086.0,206.16806
2022-09-26,8077.0,8395.0,7944.0,8336.0,319.5736
2022-09-27,8335.0,8858.0,8135.0,8291.0,853.99828
2022-09-28,8305.0,8364.0,7897.0,8212.0,452.52908
2022-09-29,8211.0,8294.0,7955.0,8137.0,356.21357
2022-09-30,8135.0,8390.0,8037.0,8122.0,430.81079
2022-10-01,8122.0,8201.0,8011.0,8076.0,151.63478
2022-10-02,8078.0,8143.0,7820.0,7876.0,175.64707
2022-10-03,7877.0,8165.0,7808.0,8115.0,166.21118
2022-10-04,8115.0,8366.0,8061.0,8343.0,252.59124
2022-10-05,8346.0,8407.0,8113.0,8306.0,196.57952
2022-10-06,8306.0,8458.0,8143.0,8228.0,205.21993
2022-10-07,8223.0,8241.0,8000.0,8082.0,172.78806
2022-10-08,8075.0,8138.0,7963.0,8042.0,102.97944
2022-10-09,8038.0,8130.0,7992.0,8087.0,59.13385
2022-10-10,8084.0,8184.0,7850.0,7856.0,132.82398
2022-10-11,7851.0,7943.0,7580.0,7827.0,213.58114
2022-10-12,7824.0,7940.0,7775.0,7879.0,106.2065
2022-10-13,7879.0,7900.0,7197.0,7718.0,426.22312
2022-10-14,7716.0,7985.0,7475.0,7561.0,352.88831
2022-10-15,7563.0,7628.0,7480.0,7542.0,129.55819
2022-10-16,7536.0,7838.0,7529.0,7737.0,174.60982
2022-10-17,7739.0,8004.0,7682.0,7908.0,245.68044
2022-10-18,7913.0,7969.0,7537.0,7731.0,189.48284
2022-10-19,7732.0,7755.0,7434.0,7489.0,174.14264
2022-10-20,7490.0,7738.0,7403.0,7510.0,155.6634
2022-10-21,7510.0,7658.0,7288.0,7625.0,180.64964
2022-10-22,7627.0,7662.0,7475.0,7600.0,135.8798
2022-10-23,7599.0,7920.0,7480.0,7793.0,195.82417
2022-10-24,7793.0,7824.0,7500.0,7628.0,167.32452
2022-10-25,7627.0,8487.0,7602.0,8022.0,578.18718
2022-10-26,8025.0,8388.0,8000.0,8147.0,362.65742
2022-10-27,8138.0,8600.0,7971.0,8006.0,428.34039
2022-10-28,8009.0,8337.0,7850.0,8210.0,321.20329
2022-10-29,8207.0,8545.0,8200.0,8380.0,457.8496
2022-10-30,8376.0,8662.0,8069.0,8185.0,285.60708
2022-10-31,8191.0,8357.0,8004.0,8124.0,205.59775
2022-11-01,8122.0,8329.0,7976.0,8021.0,167.45538
2022-11-02,8025.0,8212.0,7671.0,7861.0,322.60032
2022-11-03,7862.0,8548.0,7820.0,7930.0,1141.26385
2022-11-04,7922.0,8499.0,7895.0,8390.0,562.8456
2022-11-05,8390.0,8596.0,8148.0,8285.0,563.04771
2022-11-06,8280.0,8310.0,7913.0,7942.0,295.80015
2022-11-07,7942.0,8206.0,7825.0,7988.0,305.48616
2022-11-08,7983.0,8044.0,6102.0,6710.0,1425.58859
2022-11-09,6717.0,6717.0,5289.0,5479.0,1280.30655
2022-11-10,5483.0,6910.0,5389.0,6691.0,1144.57049
2022-11-11,6707.0,6707.0,6143.0,6449.0,504.02923
2022-11-12,6450.0,6461.0,5714.0,5757.0,693.78697
2022-11-13,5766.0,5950.0,5583.0,5704.0,973.94482
2022-11-14,5700.0,6297.0,5367.0,6027.0,726.96475
2022-11-15,6034.0,6758.0,5956.0,6437.0,1180.54932
2022-11-16,6437.0,6796.0,6180.0,6267.0,806.74143
2022-11-17,6267.0,6370.0,5957.0,6009.0,410.63469
2022-11-18,6001.0,6237.0,5908.0,6071.0,416.80422
2022-11-19,6073.0,6720.0,6015.0,6565.0,1091.56671
2022-11-20,6564.0,6797.0,6021.0,6131.0,1317.42852
2022-11-21,6131.0,6527.0,5725.0,6060.0,1107.91741
2022-11-22,6061.0,6318.0,5795.0,6165.0,857.76552
2022-11-23,6160.0,6389.0,6010.0,6234.0,608.43709
2022-11-24,6238.0,6333.0,6068.0,6111.0,282.52966
2022-11-25,6103.0,6610.0,5969.0,6306.0,1184.82837
2022-11-26,6309.0,6401.0,6222.0,6379.0,358.11293
2022-11-27,6375.0,6546.0,6230.0,6243.0,352.2959
2022-11-28,6238.0,6340.0,5968.0,6277.0,508.55914
2022-11-29,6273.0,6520.0,6205.0,6460.0,419.47989
2022-11-30,6457.0,7000.0,6457.0,6761.0,1067.05224
2022-12-01,6761.0,6773.0,6541.0,6696.0,319.55397
2022-12-02,6699.0,6864.0,6489.0,6803.0,521.13858
2022-12-03,6803.0,6900.0,6591.0,6631.0,537.10746
2022-12-04,6629.0,7487.0,6629.0,7318.0,1345.51301
2022-12-05,7320.0,7510.0,7022.0,7153.0,918.3365
2022-12-06,7149.0,7327.0,7057.0,7160.0,697.62927
2022-12-07,7165.0,7200.0,6730.0,6970.0,509.35599
2022-12-08,6980.0,7070.0,6864.0,7009.0,351.75123
2022-12-09,7008.0,7149.0,6871.0,6924.0,305.83069
2022-12-10,6924.0,6992.0,6842.0,6862.0,179.74542
2022-12-11,6870.0,7084.0,6858.0,6902.0,393.37648
2022-12-12,6893.0,6924.0,6515.0,6583.0,449.8185
