date,open,high,low,close,volume
2022-08-23,65.0,67.0,62.7,66.4,95312.894
2022-08-24,66.4,69.6,64.7,67.6,90298.022
2022-08-25,67.6,69.9,66.7,67.8,63575.882
2022-08-26,67.8,68.2,60.3,61.1,134533.837
2022-08-27,61.1,62.2,59.8,61.4,65263.873
2022-08-28,61.5,62.9,60.8,61.2,65553.228
2022-08-29,61.2,64.2,60.1,63.8,91933.775
2022-08-30,63.8,64.6,59.7,60.0,85034.334
2022-08-31,60.0,62.2,59.5,59.9,91014.963
2022-09-01,59.9,60.2,56.9,59.0,102573.528
2022-09-02,59.0,62.0,58.1,60.4,94849.831
2022-09-03,60.4,62.7,59.9,62.7,78749.089
2022-09-04,62.6,64.3,62.0,63.9,51355.269
2022-09-05,64.0,64.4,62.1,63.3,47505.073
2022-09-06,63.4,66.2,57.9,58.1,100893.008
2022-09-07,58.0,60.0,57.0,59.3,72529.158
2022-09-08,59.4,61.6,58.0,61.0,80675.47
2022-09-09,61.1,66.9,61.0,66.0,116628.76
2022-09-10,66.0,66.2,64.3,65.4,56819.047
2022-09-11,65.2,66.0,63.1,64.3,55766.834
2022-09-12,64.3,66.5,61.8,63.0,107225.241
2022-09-13,63.1,64.0,58.6,58.9,155460.554
2022-09-14,58.9,62.3,58.6,62.0,75578.833
2022-09-15,61.9,62.1,58.1,58.3,92000.938
2022-09-16,58.3,58.8,55.7,56.8,89308.812
2022-09-17,56.7,58.8,56.6,58.7,36731.395
2022-09-18,58.8,58.8,51.9,53.4,84641.353
2022-09-19,53.3,55.6,51.8,55.2,84838.111
2022-09-20,55.3,55.9,53.2,53.5,40897.466
2022-09-21,53.5,57.6,52.2,53.5,95538.496
2022-09-22,53.5,57.1,53.2,56.7,44309.108
2022-09-23,56.7,58.5,54.4,56.0,78871.492
2022-09-24,56.0,58.4,55.3,55.7,38720.738
2022-09-25,55.7,57.2,55.2,56.2,29595.329
2022-09-26,56.2,59.1,55.1,58.9,88791.314
2022-09-27,58.9,61.6,56.2,57.0,86924.842
2022-09-28,57.0,57.4,53.4,55.4,63761.78
2022-09-29,55.4,56.9,54.5,56.7,41173.557
2022-09-30,56.7,57.1,55.5,55.6,43971.93
2022-10-01,55.7,57.3,55.2,55.3,41329.233
2022-10-02,55.2,55.7,53.5,53.6,37257.143
2022-10-03,53.6,56.2,53.0,55.9,30838.507
2022-10-04,55.9,57.3,55.7,56.8,41315.604
2022-10-05,56.8,58.2,56.1,56.7,63677.649
2022-10-06,56.6,57.5,55.1,55.2,54209.344
2022-10-07,55.1,55.7,54.1,54.7,36109.429
2022-10-08,54.7,55.4,54.0,54.4,29124.922
2022-10-09,54.4,55.2,53.8,54.8,37911.003
2022-10-10,54.8,55.4,52.3,52.7,44723.156
2022-10-11,52.6,52.7,51.2,51.5,35205.535
2022-10-12,51.6,52.4,51.0,51.8,28849.19
2022-10-13,51.8,52.0,47.5,51.0,82258.92
2022-10-14,50.9,52.4,49.5,50.1,32681.434
2022-10-15,50.0,51.7,49.6,50.9,24903.86
2022-10-16,50.9,52.9,50.8,51.8,74983.568
2022-10-17,51.9,53.5,51.3,52.8,33499.006
2022-10-18,52.9,53.3,51.1,52.4,45695.451
2022-10-19,52.5,53.0,50.3,50.7,52300.096
2022-10-20,50.7,52.8,50.1,51.9,38633.052
2022-10-21,51.9,52.6,49.8,52.1,40089.359
2022-10-22,52.2,53.0,51.4,52.4,20059.041
2022-10-23,52.4,53.2,51.5,53.1,38317.591
2022-10-24,53.2,53.4,51.1,52.0,33738.219
2022-10-25,51.9,54.0,51.7,53.2,49264.573
2022-10-26,53.3,55.8,53.1,55.2,75309.204
2022-10-27,55.0,56.6,52.7,52.9,54975.694
2022-10-28,52.8,54.3,52.0,53.8,44644.141
2022-10-29,53.9,55.4,53.5,54.3,49132.667
2022-10-30,54.3,55.7,53.0,53.7,40771.693
2022-10-31,53.6,54.0,51.8,52.6,42891.471
2022-11-01,52.5,53.2,49.8,50.2,125496.138
2022-11-02,50.2,52.3,49.4,50.3,92501.022
2022-11-03,50.2,52.2,49.8,50.4,105146.176
2022-11-04,50.4,54.0,50.0,53.8,116011.326
2022-11-05,53.7,54.8,52.7,53.7,74639.031
2022-11-06,53.6,53.9,50.1,50.3,65617.061
2022-11-07,50.3,53.0,49.8,51.1,89763.111
2022-11-08,51.1,51.8,36.0,42.2,273051.625
2022-11-09,42.3,42.7,33.0,35.2,286259.424
2022-11-10,35.2,40.6,34.2,39.2,221904.782
2022-11-11,39.2,40.0,37.4,39.4,151356.984
2022-11-12,39.4,40.7,36.7,40.1,95607.243
2022-11-13,40.1,41.4,38.8,40.6,95580.972
2022-11-14,40.5,42.0,38.1,40.5,93488.207
2022-11-15,40.5,41.8,40.1,40.9,49452.66
2022-11-16,40.8,41.3,38.6,39.0,89806.236
2022-11-17,39.1,40.5,38.5,39.7,57178.336
