date,open,high,low,close,volume
2022-08-23,17.05,17.52,16.56,17.39,81545.87
2022-08-24,17.38,17.59,16.97,17.0,68167.9
2022-08-25,16.99,17.66,16.85,17.17,59208.33
2022-08-26,17.16,17.17,15.3,15.51,110162.71
2022-08-27,15.49,15.69,15.04,15.2,73965.23
2022-08-28,15.19,15.68,14.8,14.87,63345.18
2022-08-29,14.87,16.56,14.69,16.44,81698.58
2022-08-30,16.43,16.59,15.39,15.83,106063.83
2022-08-31,15.83,16.33,15.49,15.59,79873.05
2022-09-01,15.57,15.86,15.16,15.84,57123.79
2022-09-02,15.86,16.37,15.26,15.53,83605.77
2022-09-03,15.52,15.65,15.35,15.54,33752.73
2022-09-04,15.53,16.55,15.53,16.44,105391.59
2022-09-05,16.44,16.53,15.71,16.04,80833.35
2022-09-06,16.05,16.9,14.52,14.53,166850.13
2022-09-07,14.54,15.16,14.24,14.9,104703.52
2022-09-08,14.89,15.66,14.73,15.49,85602.42
2022-09-09,15.5,17.25,15.45,16.87,160247.82
2022-09-10,16.88,17.03,16.46,16.75,91244.06
2022-09-11,16.76,16.89,16.11,16.48,75212.06
2022-09-12,16.47,17.11,16.11,16.49,142795.17
2022-09-13,16.5,16.5,14.72,14.82,164477.73
2022-09-14,14.8,15.29,14.68,15.11,89200.53
2022-09-15,15.1,15.16,14.4,14.51,134130.34
2022-09-16,14.51,14.71,14.15,14.38,71777.8
2022-09-17,14.38,14.93,14.36,14.91,40345.69
2022-09-18,14.9,15.03,13.09,13.38,107303.59
2022-09-19,13.38,13.9,13.04,13.76,149989.8
2022-09-20,13.75,14.13,13.42,13.67,96923.09
2022-09-21,13.66,14.42,13.09,13.31,130071.03
2022-09-22,13.3,14.36,13.29,14.18,74956.62
2022-09-23,14.19,14.51,13.58,14.16,99354.58
2022-09-24,14.17,14.5,13.96,14.08,50097.17
2022-09-25,14.07,14.3,13.62,13.81,52556.08
2022-09-26,13.8,14.26,13.43,14.07,66792.09
2022-09-27,14.08,14.91,13.85,14.07,124734.54
2022-09-28,14.07,14.16,13.5,13.99,72884.06
2022-09-29,13.99,14.11,13.62,14.02,56981.6
2022-09-30,14.02,14.39,13.89,14.11,77002.23
2022-10-01,14.11,14.22,13.77,13.91,26269.98
2022-10-02,13.91,13.94,13.39,13.46,34908.07
2022-10-03,13.47,14.09,13.3,14.0,46869.26
