date,open,high,low,close,volume
2022-08-23,0.03718,0.0382,0.03607,0.038,191763670.3
2022-08-24,0.03802,0.04143,0.03688,0.03866,471761061.7
2022-08-25,0.03867,0.04137,0.03863,0.03961,295912862.0
2022-08-26,0.0396,0.03978,0.03546,0.03594,378168527.8
2022-08-27,0.03593,0.03694,0.03548,0.03655,192450068.9
2022-08-28,0.03655,0.03694,0.03516,0.03536,141390267.3
2022-08-29,0.03536,0.03715,0.03488,0.03706,187301345.3
2022-08-30,0.03706,0.03749,0.03498,0.03608,204546503.2
2022-08-31,0.03609,0.03698,0.03577,0.03621,146350073.6
2022-09-01,0.0362,0.03645,0.0348,0.03643,161377850.0
2022-09-02,0.03644,0.03686,0.03527,0.03576,169627538.0
2022-09-03,0.03576,0.03595,0.03528,0.03569,79547387.7
2022-09-04,0.03569,0.03657,0.03554,0.03657,114284366.9
2022-09-05,0.03657,0.03678,0.03527,0.03629,153144376.1
2022-09-06,0.03631,0.03704,0.03319,0.0338,324807500.0
2022-09-07,0.0338,0.03505,0.03293,0.03478,200954717.7
2022-09-08,0.03478,0.03555,0.03402,0.03546,184706042.0
2022-09-09,0.03547,0.03762,0.03534,0.03715,281668932.5
2022-09-10,0.03715,0.03846,0.03652,0.0375,284525480.2
2022-09-11,0.03751,0.03775,0.03631,0.03741,176762615.4
2022-09-12,0.0374,0.03831,0.03676,0.03761,276735984.9
2022-09-13,0.03761,0.03812,0.03417,0.03434,352049279.3
2022-09-14,0.03433,0.03522,0.034,0.03496,183413535.0
2022-09-15,0.03494,0.035,0.03335,0.03364,224438012.1
2022-09-16,0.03365,0.03418,0.0332,0.0339,156245911.5
2022-09-17,0.0339,0.03483,0.03384,0.03481,85828899.2
2022-09-18,0.03481,0.03482,0.03099,0.03161,203619243.0
2022-09-19,0.03162,0.03256,0.03069,0.0323,205507559.5
2022-09-20,0.03228,0.03252,0.03136,0.03183,164431434.9
2022-09-21,0.03182,0.03382,0.03069,0.0311,319689000.5
2022-09-22,0.03109,0.03363,0.03099,0.03315,266034224.9
2022-09-23,0.03314,0.03378,0.0319,0.03293,249936763.6
2022-09-24,0.03293,0.03327,0.03209,0.03222,119707050.2
2022-09-25,0.03222,0.03267,0.03122,0.03163,131924143.7
2022-09-26,0.03162,0.03199,0.03071,0.03187,213221866.2
2022-09-27,0.03188,0.03299,0.03091,0.03142,243064649.4
2022-09-28,0.03142,0.03175,0.03031,0.03133,177031907.0
2022-09-29,0.03133,0.03161,0.03064,0.03149,185507985.6
2022-09-30,0.03151,0.03189,0.0309,0.0312,169952225.0
2022-10-01,0.03119,0.03139,0.03092,0.03121,69828912.3
2022-10-02,0.03121,0.03142,0.03026,0.03043,116814502.7
2022-10-03,0.03043,0.03171,0.03,0.03146,155193794.5
2022-10-04,0.03146,0.03211,0.03118,0.0319,172996771.3
2022-10-05,0.0319,0.03192,0.03077,0.03157,131834032.8
2022-10-06,0.03157,0.032,0.03092,0.03119,170066826.1
2022-10-07,0.03119,0.03207,0.0308,0.03171,155647980.6
2022-10-08,0.03171,0.032,0.03139,0.03161,100611261.3
2022-10-09,0.03162,0.0329,0.03151,0.03263,230542503.6
2022-10-10,0.03263,0.03267,0.03094,0.03096,176429031.0
2022-10-11,0.03095,0.03113,0.02966,0.03071,196819674.4
2022-10-12,0.03071,0.03096,0.03039,0.0305,79631046.6
2022-10-13,0.03049,0.0306,0.02776,0.03035,323963328.7
2022-10-14,0.03034,0.03142,0.02977,0.03012,162205003.4
2022-10-15,0.03011,0.03053,0.0299,0.03018,59273707.2
2022-10-16,0.03018,0.03095,0.03013,0.03061,62939872.6
2022-10-17,0.0306,0.0315,0.03025,0.03136,112225336.8
2022-10-18,0.03136,0.037,0.03056,0.0314,915222524.9
2022-10-19,0.0314,0.0315,0.02921,0.02954,400909184.3
2022-10-20,0.02954,0.03,0.02877,0.02911,277971112.3
2022-10-21,0.0291,0.02943,0.02821,0.02932,243218677.0
2022-10-22,0.02932,0.02951,0.02893,0.02929,100912436.9
