date,price
2024-05-22,3.28739766079775e-05
2024-05-23,3.2232836389412494e-05
2024-05-24,3.518543285110827e-05
2024-05-25,3.3180956760033176e-05
2024-05-26,3.495921219974579e-05
2024-05-27,3.3896590859599226e-05
2024-05-28,3.9112652817858515e-05
2024-05-29,4.119695793002034e-05
2024-05-30,3.6403329687182716e-05
2024-05-31,3.389780012066548e-05
2024-06-01,3.4514590566328745e-05
2024-06-02,3.319409714606468e-05
2024-06-03,3.1730879573251245e-05
2024-06-04,3.2008255903304775e-05
2024-06-05,3.313515964522009e-05
2024-06-06,3.391704581984475e-05
2024-06-07,3.1762156467003266e-05
2024-06-08,2.886387295545417e-05
2024-06-09,2.752929178834944e-05
2024-06-10,2.862049415748837e-05
2024-06-11,2.707935129356389e-05
2024-06-12,2.7209295217085295e-05
2024-06-13,2.8946747804091823e-05
2024-06-14,2.561235774799771e-05
2024-06-15,2.423923399053625e-05
2024-06-16,2.4435455011486092e-05
2024-06-17,2.5242508634604517e-05
2024-06-18,2.3019967664717714e-05
2024-06-19,2.1119709464468208e-05
2024-06-20,2.1051384431247553e-05
2024-06-21,2.112584637489894e-05
2024-06-22,2.0362177492616337e-05
2024-06-23,2.0629965624328976e-05
2024-06-24,1.9944883202228835e-05
2024-06-25,2.1827785424743117e-05
2024-06-26,2.3195238708772805e-05
2024-06-27,2.1877520472844887e-05
2024-06-28,2.45709980538596e-05
2024-06-29,2.2573220296351025e-05
2024-06-30,2.2302632690405676e-05
2024-07-01,2.2552797648350596e-05
2024-07-02,2.5527276769747513e-05
2024-07-03,2.5377706783610836e-05
2024-07-04,2.2450247592989083e-05
2024-07-05,2.0700094278093407e-05
2024-07-06,2.1818060576747544e-05
2024-07-07,2.322936731257547e-05
2024-07-08,2.1102672184182016e-05
2024-07-09,2.3985740841594294e-05
2024-07-10,2.581514048558426e-05
2024-07-11,2.6396704788607154e-05
2024-07-12,2.3529306403408113e-05
2024-07-13,2.251675188465075e-05
2024-07-14,2.27406264073883e-05
2024-07-15,2.4063269192330265e-05
2024-07-16,2.6804255723297504e-05
2024-07-17,2.8554252606878653e-05
2024-07-18,2.6701257396632827e-05
2024-07-19,2.6849438319868682e-05
2024-07-20,3.149126782069784e-05
2024-07-21,3.0978224444741717e-05
2024-07-22,3.254066462640515e-05
2024-07-23,3.006458882065761e-05
2024-07-24,2.831015249137801e-05
2024-07-25,2.741104699011646e-05
2024-07-26,2.7055471017680836e-05
2024-07-27,2.856775146081177e-05
2024-07-28,2.8389489783690936e-05
2024-07-29,2.805370783883272e-05
2024-07-30,2.6945841562915312e-05
2024-07-31,2.5955566642394618e-05
2024-08-01,2.457556424828693e-05
2024-08-02,2.4933289927540973e-05
2024-08-03,2.2368981989209047e-05
2024-08-04,2.1039200270120155e-05
2024-08-05,1.9773580810549183e-05
2024-08-06,1.793619592459266e-05
2024-08-07,1.9809816512499235e-05
2024-08-08,1.9111907977176885e-05
2024-08-09,2.1772184945771887e-05
2024-08-10,2.0812182235828265e-05
2024-08-11,2.044704960415357e-05
2024-08-12,1.8844371135581304e-05
2024-08-13,2.000604368050117e-05
2024-08-14,1.9825265639998524e-05
2024-08-15,1.9247360501356872e-05
2024-08-16,1.860393776042307e-05
2024-08-17,1.7558262376999115e-05
2024-08-18,1.7945403049897885e-05
2024-08-19,1.7679077628574302e-05
2024-08-20,1.7878920314198995e-05
2024-08-21,1.816596384070534e-05
2024-08-22,1.853734939494463e-05
2024-08-23,1.894425856608852e-05
2024-08-24,2.0714256842745916e-05
2024-08-25,2.2006919915768966e-05
2024-08-26,2.1038111670427534e-05
2024-08-27,1.972857062547993e-05
2024-08-28,1.8267330586606653e-05
2024-08-29,1.810115583109368e-05
2024-08-30,1.8061288000799413e-05
2024-08-31,1.775908169383066e-05
2024-09-01,1.7339183667443133e-05
2024-09-02,1.6490112906366812e-05
2024-09-03,1.7499106875566776e-05
2024-09-04,1.665697767266492e-05
2024-09-05,1.6849672561455083e-05
2024-09-06,1.5914524422827433e-05
2024-09-07,1.5838957860543893e-05
2024-09-08,1.5882112899634362e-05
2024-09-09,1.6408875741644898e-05
2024-09-10,1.7226483406142966e-05
2024-09-11,1.723446774861333e-05
2024-09-12,1.6581855348754996e-05
2024-09-13,1.7078905308561072e-05
2024-09-14,1.7692768934429993e-05
2024-09-15,1.716650732501096e-05
2024-09-16,1.6520124910907526e-05
2024-09-17,1.6174832738762727e-05
2024-09-18,1.653461655271765e-05
2024-09-19,1.6812355389528865e-05
2024-09-20,1.7640554160203603e-05
2024-09-21,1.8198982030421846e-05
2024-09-22,1.8406056620210642e-05
2024-09-23,1.7120974983261114e-05
2024-09-24,1.7613011072779916e-05
2024-09-25,1.856342968740888e-05
2024-09-26,1.8552637200384895e-05
2024-09-27,2.0953855652174237e-05
2024-09-28,2.319908172035125e-05
2024-09-29,2.406297905310611e-05
2024-09-30,2.2882332500474062e-05
2024-10-01,2.3799634066209978e-05
2024-10-02,2.3706165999759965e-05
2024-10-03,2.210312279941817e-05
2024-10-04,1.9817993853685967e-05
2024-10-05,2.151235645159832e-05
2024-10-06,2.0616372586740398e-05
2024-10-07,2.1931606892441016e-05
2024-10-08,2.1228947605423224e-05
2024-10-09,2.0968968998257864e-05
2024-10-10,1.9882290489860706e-05
2024-10-11,2.021479028006834e-05
2024-10-12,2.1461161855728964e-05
2024-10-13,2.171629765051983e-05
2024-10-14,2.1029873489336032e-05
2024-10-15,2.3158430065384493e-05
2024-10-16,2.2394968243219816e-05
2024-10-17,2.4380456685858452e-05
2024-10-18,2.2380465258308936e-05
2024-10-19,2.365340146992947e-05
2024-10-20,2.3494699103616424e-05
2024-10-21,2.4143015134498004e-05
2024-10-22,2.3448749046569707e-05
2024-10-23,2.2746499614394353e-05
2024-10-24,2.1886936305366457e-05
2024-10-25,2.2944395521526412e-05
2024-10-26,2.0319874983910575e-05
2024-10-27,2.1121833927730076e-05
2024-10-28,2.1329104210375374e-05
2024-10-29,2.125759410587704e-05
2024-10-30,2.1902767267414017e-05
2024-10-31,2.114921211815911e-05
2024-11-01,2.0190044992799286e-05
2024-11-02,1.92336897071029e-05
2024-11-03,1.895039991531855e-05
2024-11-04,1.803832434687152e-05
2024-11-05,1.7831103834780935e-05
2024-11-06,1.9178607187620934e-05
2024-11-07,2.259087562462789e-05
2024-11-08,2.2578147878482232e-05
2024-11-09,2.196069282321879e-05
2024-11-10,2.2404383322389775e-05
2024-11-11,2.5324451196177707e-05
2024-11-12,2.6984971857724835e-05
2024-11-13,3.843634057229888e-05
2024-11-14,3.760535157402373e-05
2024-11-15,3.555396361652202e-05
2024-11-16,4.564430659860319e-05
2024-11-17,4.7191238639059356e-05
2024-11-18,5.13698237079159e-05
2024-11-19,4.8269688544581114e-05
2024-11-20,5.223972072541943e-05
2024-11-21,5.0290110031706295e-05
2024-11-22,5.368760917303322e-05
2024-11-23,4.950540457375299e-05
2024-11-24,4.7584606183455446e-05
2024-11-25,4.7934106828151914e-05
2024-11-26,4.3447940422359505e-05
2024-11-27,4.247037649093471e-05
2024-11-28,4.392596611125148e-05
2024-11-29,4.299826575994346e-05
2024-11-30,4.670267475280557e-05
2024-12-01,4.4995167220138404e-05
2024-12-02,4.62096269709692e-05
