date,price
2024-05-22,1.3809358104853935e-05
2024-05-23,1.334440011610093e-05
2024-05-24,1.4922802870779251e-05
2024-05-25,1.4163925713604257e-05
2024-05-26,1.4937884565760862e-05
2024-05-27,1.5952436906073327e-05
2024-05-28,1.6646608932022776e-05
2024-05-29,1.5992869138003313e-05
2024-05-30,1.4720376095071086e-05
2024-05-31,1.4412855960950128e-05
2024-06-01,1.5441047383269976e-05
2024-06-02,1.485471289340282e-05
2024-06-03,1.4567561899197977e-05
2024-06-04,1.4435928057908717e-05
2024-06-05,1.4349974158884364e-05
2024-06-06,1.4576221135447047e-05
2024-06-07,1.4392829832279976e-05
2024-06-08,1.2822939606467539e-05
2024-06-09,1.2135346246584088e-05
2024-06-10,1.2764392556674418e-05
2024-06-11,1.2085042796885793e-05
2024-06-12,1.2778079037049468e-05
2024-06-13,1.317131261243079e-05
2024-06-14,1.1870857155894082e-05
2024-06-15,1.1373613736419744e-05
2024-06-16,1.1809275207990526e-05
2024-06-17,1.2317090995909393e-05
2024-06-18,1.1171637522392975e-05
2024-06-19,1.1008930288279974e-05
2024-06-20,1.136009933520655e-05
2024-06-21,1.096737641331523e-05
2024-06-22,1.1407286599415112e-05
2024-06-23,1.141933259873677e-05
2024-06-24,1.0884663708514512e-05
2024-06-25,1.1275639873086569e-05
2024-06-26,1.280945255119844e-05
2024-06-27,1.2480032788299767e-05
2024-06-28,1.2531551626723996e-05
2024-06-29,1.1535254978398966e-05
2024-06-30,1.129166699308786e-05
2024-07-01,1.1834566110401814e-05
2024-07-02,1.1412917238721527e-05
2024-07-03,1.128634136536836e-05
2024-07-04,1.0237584527245781e-05
2024-07-05,8.927785928563917e-06
2024-07-06,8.889122135576347e-06
2024-07-07,9.740898865327442e-06
2024-07-08,8.386343783949773e-06
2024-07-09,9.164782716219039e-06
2024-07-10,9.0770134898232e-06
2024-07-11,9.202009634062136e-06
2024-07-12,8.892443984423003e-06
2024-07-13,8.672504801488397e-06
2024-07-14,8.706022018129234e-06
2024-07-15,9.234399465526031e-06
2024-07-16,1.138675534683768e-05
2024-07-17,1.2369176443726459e-05
2024-07-18,1.1684709219842151e-05
2024-07-19,1.1659141391034726e-05
2024-07-20,1.2686997959640374e-05
2024-07-21,1.2243537381590815e-05
2024-07-22,1.249190150737867e-05
2024-07-23,1.1895940387574104e-05
2024-07-24,1.2627075060310609e-05
2024-07-25,1.2218760973501835e-05
2024-07-26,1.1472769855163252e-05
2024-07-27,1.2044015909781473e-05
2024-07-28,1.1953217000509627e-05
2024-07-29,1.1740893622905076e-05
2024-07-30,1.1818116433383874e-05
2024-07-31,1.1288949974817519e-05
2024-08-01,1.1055986520116784e-05
2024-08-02,1.0587590814285604e-05
2024-08-03,9.302843830138798e-06
2024-08-04,8.650598409072813e-06
2024-08-05,8.055316957437677e-06
2024-08-06,7.074562365449622e-06
2024-08-07,7.726114572225104e-06
2024-08-08,7.378151842680227e-06
2024-08-09,8.764680489199087e-06
2024-08-10,8.507496541568894e-06
2024-08-11,8.430513369520323e-06
2024-08-12,7.745620593715817e-06
2024-08-13,8.241537022214019e-06
2024-08-14,8.187728464809345e-06
2024-08-15,8.019721018431367e-06
2024-08-16,7.4570420324708495e-06
2024-08-17,7.16795676928073e-06
2024-08-18,7.474930192482385e-06
2024-08-19,7.297368522944681e-06
2024-08-20,7.695756995411844e-06
2024-08-21,7.776090680329256e-06
2024-08-22,7.91493957320218e-06
2024-08-23,7.992050254624336e-06
2024-08-24,9.059274548906124e-06
2024-08-25,9.462321621802279e-06
2024-08-26,9.119824820540128e-06
2024-08-27,8.530910891640103e-06
2024-08-28,7.646118827164211e-06
2024-08-29,7.699226837793512e-06
2024-08-30,7.661397630223598e-06
2024-08-31,7.783231690650538e-06
2024-09-01,7.614350451240171e-06
2024-09-02,7.165010104773535e-06
2024-09-03,7.601895076151056e-06
2024-09-04,7.271461474125992e-06
2024-09-05,7.349919849039338e-06
2024-09-06,7.097586395431797e-06
2024-09-07,6.6423906575842296e-06
2024-09-08,6.750866057627698e-06
2024-09-09,7.065367471156964e-06
2024-09-10,7.398965455881004e-06
2024-09-11,7.473565117430383e-06
2024-09-12,7.241245281653145e-06
2024-09-13,7.412396321723108e-06
2024-09-14,7.926719981372e-06
2024-09-15,7.746235942306449e-06
2024-09-16,7.380485351422339e-06
2024-09-17,7.201012976899815e-06
2024-09-18,7.3112162010686946e-06
2024-09-19,7.510987937810838e-06
2024-09-20,7.956046430748504e-06
2024-09-21,8.194496623965011e-06
2024-09-22,8.421459560423109e-06
2024-09-23,8.014099305569544e-06
2024-09-24,8.116019265612451e-06
2024-09-25,8.60869550496846e-06
2024-09-26,8.432137091116152e-06
2024-09-27,9.52287909751174e-06
2024-09-28,1.0693156678045403e-05
2024-09-29,1.1312447023185163e-05
2024-09-30,1.1309594545409278e-05
2024-10-01,1.048366373875091e-05
2024-10-02,9.696832663097047e-06
2024-10-03,9.239141954705709e-06
2024-10-04,8.632603110211776e-06
2024-10-05,9.37923050848553e-06
2024-10-06,9.3393998125039e-06
2024-10-07,1.0226880746201553e-05
2024-10-08,9.867451609514003e-06
2024-10-09,9.516150618896126e-06
2024-10-10,9.10767161391675e-06
2024-10-11,9.241928295238555e-06
2024-10-12,9.729609211998053e-06
2024-10-13,9.912939826188262e-06
2024-10-14,9.652250882393356e-06
2024-10-15,1.090128533181958e-05
2024-10-16,1.0335680713665975e-05
2024-10-17,1.0446734414054427e-05
2024-10-18,9.849117933544871e-06
2024-10-19,1.0503767104430174e-05
2024-10-20,1.0505383789109922e-05
2024-10-21,1.0626381905461814e-05
2024-10-22,1.018481160385548e-05
2024-10-23,1.005520595644556e-05
2024-10-24,9.814031699023583e-06
2024-10-25,9.983578602625013e-06
2024-10-26,8.712864638667946e-06
2024-10-27,9.056174589182247e-06
2024-10-28,9.154906764771356e-06
2024-10-29,9.171114390885542e-06
2024-10-30,9.645552993580686e-06
2024-10-31,9.675237292441598e-06
2024-11-01,9.114826428046003e-06
2024-11-02,8.885626495255902e-06
2024-11-03,8.695635936586177e-06
2024-11-04,8.188918704060204e-06
2024-11-05,7.898788680867506e-06
2024-11-06,8.536894661759362e-06
2024-11-07,9.92454912428674e-06
2024-11-08,1.0887313476448214e-05
2024-11-09,1.0813432839860574e-05
2024-11-10,1.1178486660754939e-05
2024-11-11,1.2264830321634702e-05
2024-11-12,1.2991931821525012e-05
2024-11-13,1.4355440880298299e-05
2024-11-14,2.0856281855975356e-05
2024-11-15,2.0629507934191433e-05
2024-11-16,2.3429896098594692e-05
2024-11-17,2.1237463379793544e-05
2024-11-18,2.1197225084555063e-05
2024-11-19,2.038080776618755e-05
2024-11-20,1.9685391904662753e-05
