coin,num_samples,num_moonshots,IF_Precision@10
JSTUSDT,15,10,0.8
LSKUSDT,20,15,1.0
MBOXUSDT,18,13,0.6
EDUUSDT,28,23,1.0
APEUSDT,27,22,1.0
XLMUSDT,43,38,1.0
KDAUSDT,51,46,1.0
GASUSDT,49,44,1.0
FISUSDT,40,35,1.0
MINAUSDT,44,39,1.0
AAVEUSDT,20,15,0.6
COTIUSDT,52,47,1.0
FIDAUSDT,22,17,1.0
STRAXUSDT,37,32,1.0
WLDUSDT,42,37,0.9
STGUSDT,27,22,0.6
BATUSDT,15,10,0.7
SFPUSDT,10,5,0.5
PEPEUSDT,105,100,1.0
IDUSDT,76,71,1.0
LUNAUSDT,52,47,1.0
WOOUSDT,22,17,0.7
FARMUSDT,19,14,1.0
KAVAUSDT,12,7,0.5
WINUSDT,44,39,1.0
CELRUSDT,34,29,0.8
ANKRUSDT,26,21,0.8
GRTUSDT,60,55,1.0
HIFIUSDT,63,58,1.0
HOTUSDT,33,28,1.0
RLCUSDT,11,6,0.5
SANDUSDT,39,34,1.0
GHSTUSDT,34,29,1.0
SSVUSDT,14,9,0.6
DODOUSDT,10,5,0.5
ALICEUSDT,15,10,0.8
ARKMUSDT,44,39,1.0
XTZUSDT,29,24,1.0
SCRTUSDT,34,29,1.0
AVAXUSDT,51,46,1.0
HIVEUSDT,20,15,1.0
IQUSDT,26,21,1.0
CHZUSDT,14,9,0.6
BCHUSDT,43,38,1.0
LOKAUSDT,12,7,0.7
LQTYUSDT,40,35,1.0
XECUSDT,36,31,1.0
ALPHAUSDT,15,10,0.6
MOVRUSDT,41,36,1.0
TLMUSDT,29,24,0.8
SYNUSDT,63,58,1.0
IOTAUSDT,39,34,0.9
OGUSDT,66,61,1.0
DEXEUSDT,55,50,0.9
FXSUSDT,47,42,0.9
EGLDUSDT,18,13,0.7
LEVERUSDT,52,47,0.9
COMPUSDT,47,42,1.0
REIUSDT,52,47,1.0
NKNUSDT,17,12,0.9
RSRUSDT,77,72,1.0
SUIUSDT,42,37,0.7
IOSTUSDT,19,14,0.7
TIAUSDT,34,29,0.9
LPTUSDT,60,55,1.0
PUNDIXUSDT,22,17,1.0
PEOPLEUSDT,81,76,1.0
LTOUSDT,41,36,0.9
ICPUSDT,37,32,1.0
BAKEUSDT,57,52,1.0
GMTUSDT,27,22,1.0
LDOUSDT,32,27,1.0
DEGOUSDT,49,44,1.0
XVGUSDT,109,104,1.0
ACAUSDT,20,15,0.9
ARBUSDT,19,14,0.6
PENDLEUSDT,40,35,0.8
FIOUSDT,15,10,0.5
QIUSDT,41,36,1.0
QUICKUSDT,10,5,0.5
DYDXUSDT,55,50,0.9
IDEXUSDT,49,44,1.0
BONKUSDT,66,61,1.0
YGGUSDT,70,65,1.0
EOSUSDT,28,23,0.5
QNTUSDT,24,19,0.9
UMAUSDT,35,30,1.0
RVNUSDT,41,36,1.0
SPELLUSDT,57,52,1.0
POLYXUSDT,67,62,1.0
XAIUSDT,21,16,0.7
BELUSDT,39,34,1.0
API3USDT,34,29,1.0
HOOKUSDT,32,27,0.9
AVAUSDT,35,30,1.0
STXUSDT,66,61,1.0
SCUSDT,26,21,1.0
OPUSDT,40,35,1.0
CRVUSDT,56,51,0.9
BANDUSDT,38,33,1.0
JASMYUSDT,83,78,1.0
FLUXUSDT,16,11,0.8
FTTUSDT,57,52,1.0
POWRUSDT,59,54,1.0
HFTUSDT,25,20,0.6
DATAUSDT,35,30,1.0
VANRYUSDT,49,44,1.0
SKLUSDT,63,58,1.0
BSWUSDT,42,37,1.0
CKBUSDT,70,65,1.0
AUDIOUSDT,26,21,1.0
APTUSDT,38,33,1.0
IOTXUSDT,22,17,1.0
TUSDT,38,33,1.0
AXSUSDT,12,7,0.7
SUSHIUSDT,54,49,1.0
LUNCUSDT,35,30,0.9
NMRUSDT,14,9,0.7
ONEUSDT,68,63,0.9
BTTCUSDT,45,40,1.0
XNOUSDT,26,21,1.0
STORJUSDT,36,31,0.9
CYBERUSDT,19,14,0.9
SOLUSDT,45,40,0.9
PERPUSDT,67,62,1.0
CVCUSDT,36,31,1.0
ZRXUSDT,68,63,1.0
ARDRUSDT,33,28,1.0
GLMRUSDT,29,24,0.9
FETUSDT,105,100,1.0
JUPUSDT,33,28,1.0
DASHUSDT,27,22,0.5
HIGHUSDT,55,50,1.0
ALGOUSDT,35,30,1.0
XRPUSDT,41,36,0.9
DFUSDT,43,38,1.0
SUPERUSDT,56,51,1.0
TRUUSDT,75,70,1.0
FLOWUSDT,18,13,0.7
SLPUSDT,41,36,1.0
RUNEUSDT,45,40,0.8
BNTUSDT,38,33,1.0
RAREUSDT,69,64,1.0
1000SATSUSDT,11,6,0.6
